# -------- source file example 
#
#
name1		name2		ra_hr	ra_min	ra_sec	ra_err	dec_deg	dec_arcmin	dec_arcsec	dec_err	freq_one	freq_one_err	freq_two	freq_two_err	period		period_err	period_epoch	sma	sma_err	tperi_sec	tperi_nano	tperi_err	argp	argp_err	ecc	ecc_err
# ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- #
sco-x1		sco		14	45	56.89	0.0	-15	23		9.77		0.0	474.0		10.0		614.0		5.0		68023.84	0.09		680000000	1.44	0.18	680000000	0		300		0.0	0.0		0.0	0.0
sco_fake 	fake_sco 	14	45	56.89	0.0	-15	23		9.77		0.0	474.0		0.01	 	0.0		0.0		68023.84	0.09		680000000	1.44	0.18	680000000	0		300		0.0	0.0		0.0	0.0	
fake		false		2	12	9.74	0.0	78	56		18.91		0.0	234.0		2.0		0.0		0.0		3480.6		0.0		715000000	0.056	0.002	715000000	0		2		0.0	0.0		0.0	0.0
new		new_fake	15	20	12.97	0.0	-34	59		11.19		0.0	378.0		0.005		0.0		0.0		56036.45	0.0		706700000	1.24	0.16	706796551	0		278		0.0	0.0		0.0	0.0
new2		new_fake2	15	20	12.97	0.0	-34	59		11.19		0.0	378.14		0.005		0.0		0.0		56036.45	0.0		706700000	1.24	0.14	706796551	0		134		0.0	0.0		0.0	0.0
sco_fake2 	fake_sco2 	14	45	56.89	0.0	-15	23		9.77		0.0	474.0		1.0	 	614.0		1.0		68023.84	0.09		731163327	1.44	0.18	731163327	0		299		0.0	0.0		0.0	0.0
sco-x1_1	sco_1		14	45	56.89	0.0	-15	23		9.77		0.0	471.0		7.0		614.0		10.0		68023.84	0.09		731163327	1.44	0.18	731163327	0		299		0.0	0.0		0.0	0.0
sco-x1_a	sco_a		14	45	56.89	0.0	-15	23		9.77		0.0	614.0		2.0		0.0		0.0		68023.84	0.09		731163327	1.44	0.18	731163327	0		299		0.0	0.0		0.0	0.0
sco-x1_aa	sco_aa		14	45	56.89	0.0	-15	23		9.77		0.0	614.0		0.1		0.0		0.0		68023.84	0.09		731163327	1.44	0.18	731163327	0		299		0.0	0.0		0.0	0.0
sco-x1_bb	sco_bb		14	45	56.89	0.0	-15	23		9.77		0.0	614.0		0.5		0.0		0.0		68023.84	0.09		731163327	1.44	0.18	731163327	0		299		0.0	0.0		0.0	0.0
sco-test     	test-sco 	14	45	56.89	0.0	-15	23		9.77		0.0	620.0		0.1		0.0		0.0		68023.84	0.09		680000000	1.44	0.06	731163327	0		100		0.0	0.0		0.0	0.0
sco-test2     	test-sco2 	14	45	56.89	0.0	-15	23		9.77		0.0	620.0		0.5		0.0		0.0		68023.84	0.09		680000000	1.44	0.06	731163327	0		100		0.0	0.0		0.0	0.0
#
