Start GPS	Stop GPS	duration(sec)

714150013	714151356	1343
714151689	714153973	2284
714154229	714155684	1455
714155735	714157820	2085
714157840	714158744	904
714158787	714160914	2127
714160938	714163297	2359
714164582	714165202	620
714165462	714167192	1730
714168063	714169864	1801
714170959	714172188	1229
714172242	714174416	2174
714174689	714175215	526
714175598	714177858	2260
714178129	714179908	1779
714181114	714182610	1496
714183332	714184720	1388
714186706	714194219	7513
714194669	714195441	772
714223813	714225574	1761
714227013	714227576	563
714227849	714232740	4891
714233280	714239920	6640
714241382	714242626	1244
714242643	714242943	300
714244054	714245110	1056
714245565	714247626	2061
714250910	714251295	385
714251608	714255859	4251
714256083	714256706	623
714257233	714261656	4423
714262944	714264576	1632
714265024	714266238	1214
714267018	714267945	927
714268428	714279125	10697
714280411	714286448	6037
714287434	714309095	21661
714309185	714320248	11063
714320811	714321718	907
714322778	714323954	1176
714324445	714330243	5798
714330580	714331080	500
714332124	714334110	1986
714336515	714346969	10454
714347904	714350502	2598
714351079	714352828	1749
714353452	714360218	6766
714361673	714378825	17152
714379320	714388361	9041
714393602	714395738	2136
714397270	714399939	2669
714400758	714403810	3052
714405269	714407182	1913
714409643	714410173	530
714410780	714411604	824
714412033	714417043	5010
714417705	714421699	3994
714427857	714429137	1280
714429234	714435704	6470
714437341	714449324	11983
714450048	714461971	11923
714462427	714471611	9184
714471700	714473146	1446
714474893	714479692	4799
714479974	714481103	1129
714481666	714482856	1190
714484112	714485199	1087
714487840	714488752	912
714490051	714493352	3301
714493776	714496493	2717
714496729	714499347	2618
714502423	714505972	3549
714506340	714507270	930
714508681	714510299	1618
714510915	714516141	5226
714516337	714517433	1096
714517437	714518847	1410
714519644	714520052	408
714520642	714521321	679
714522007	714522764	757
714541096	714556478	15382
714556732	714560203	3471
714574781	714588265	13484
714590470	714608502	18032
714624421	714641117	16696
714641833	714644435	2602
714647300	714647953	653
714649491	714660029	10538
714670249	714674463	4214
714681325	714689235	7910
714690808	714693099	2291
714694423	714694806	383
714696591	714698208	1617
714698493	714704409	5916
714707663	714708247	584
714708860	714722931	14071
714724034	714738098	14064
714739026	714741836	2810
714742482	714749960	7478
714751109	714759063	7954
714762475	714763502	1027
714764023	714769307	5284
714770031	714770685	654
714771173	714774724	3551
714775569	714776992	1423
714777009	714786881	9872
714787499	714803001	15502
714803051	714807417	4366
714808011	714823143	15132
714824549	714832716	8167
714834472	714843667	9195
714845182	714851925	6743
714856575	714859970	3395
714860455	714862346	1891
714864570	714886328	21758
714886632	714916994	30362
714919414	714931767	12353
714941206	714948746	7540
714950368	714953469	3101
714957279	714959249	1970
714966383	714991756	25373
714994393	715005515	11122
715006973	715008772	1799
715013179	715014584	1405
715015540	715026220	10680
715027842	715038165	10323
715039695	715056949	17254
715057385	715077278	19893
715079995	715082022	2027
715082046	715083599	1553
715085088	715091440	6352
715091745	715099658	7913
715142566	715145367	2801
715146921	715148083	1162
715149653	715157649	7996
715157947	715158945	998
715159408	715165787	6379
715170721	715173695	2974
715174092	715181213	7121
715181961	715191626	9665
715192624	715195056	2432
715196012	715205045	9033
715205345	715211957	6612
715212812	715214052	1240
715214911	715217559	2648
715219954	715229474	9520
715229732	715232637	2905
715233334	715245691	12357
715245840	715260750	14910
715262670	715265931	3261
715266767	715269631	2864
715270077	715296012	25935
715312232	715313301	1069
715313522	715318137	4615
715318484	715319928	1444
715320832	715324134	3302
715324873	715325671	798
715326205	715333237	7032
715333448	715346667	13219
715347140	715353948	6808
715354807	715361332	6525
715362732	715363262	530
715363542	715386904	23362
715387995	715389913	1918
715390383	715391890	1507
715393422	715396720	3298
715397119	715399769	2650
715406352	715416911	10559
715423571	715429668	6097
715430128	715433141	3013
715433579	715443865	10286
715444816	715454357	9541
715457215	715461299	4084
715461699	715465903	4204
715466685	715470786	4101
715473536	715478841	5305
715479339	715484566	5227
715486495	715488356	1861
715488717	715506196	17479
715507970	715517179	9209
715517860	715525794	7934
715528056	715533219	5163
715533263	715536371	3108
715536468	715545238	8770
715545523	715546708	1185
715564387	715580200	15813
715581029	715588258	7229
715595887	715606980	11093
715608322	715618813	10491
