H2 science mode segment list
START-GPS   STOP-GPS   LENGTH
751654515 751654755 240
751654991 751657995 3004
751658055 751668255 10200
751674735 751675815 1080
751676595 751682105 5510
751682655 751685115 2460
751685582 751689015 3433
751689075 751693335 4260
751693395 751694175 780
751694295 751694655 360
751696875 751698135 1260
751698616 751700355 1739
751700415 751702155 1740
751702875 751716615 13740
751730295 751738575 8280
751746795 751755735 8940
751761555 751763715 2160
751764615 751766115 1500
751767255 751775055 7800
751775595 751777695 2100
751782785 751783085 300
751784156 751785716 1560
751785742 751785862 120
751785902 751786082 180
751786115 751786415 300
751786478 751786715 237
751787505 751788044 539
751790210 751801070 10860
751801127 751802147 1020
751802173 751802293 120
751802303 751802483 180
751802503 751802683 180
751802700 751802760 60
751802819 751803599 780
751803617 751803797 180
751803806 751803926 120
751803965 751804865 900
751804905 751815944 11039
751820176 751820236 60
751820315 751820375 60
751820390 751820510 120
751820542 751820662 120
751820717 751821017 300
751821030 751821150 120
751821160 751822000 840
751822057 751823977 1920
751824003 751828743 4740
751833843 751836243 2400
751836249 751836309 60
751841460 751841564 104
751842300 751852500 10200
751852510 751854130 1620
751854191 751854371 180
751854394 751854574 180
751854589 751854709 120
751854759 751855419 660
751855450 751856110 660
751856130 751869450 13320
751869486 751870386 900
751870427 751870547 120
751870592 751870892 300
751870910 751871030 120
751871073 751871253 180
751871261 751871321 60
751872321 751872921 600
751872954 751885134 12180
751885173 751887153 1980
751887211 751887331 120
751887385 751887505 120
751887552 751887852 300
751887878 751888178 300
751888185 751888305 120
751888345 751888405 60
751888417 751888957 540
751890297 751903497 13200
751903562 751903802 240
751903858 751903978 120
751904000 751904780 780
751907417 751916117 8700
751925161 751925341 180
751925369 751930109 4740
751932809 751937609 4800
751939089 751939869 780
751939908 751940568 660
751940624 751943435 2811
751948424 751968824 20400
751970504 751981124 10620
751987252 751987304 52
751987484 751998524 11040
752004644 752011535 6891
752015084 752016344 1260
752035064 752040816 5752
752040817 752041513 696
752265013 752270740 5727
752272180 752272300 120
752273020 752274940 1920
752276380 752280460 4080
752282260 752294500 12240
752294514 752294634 120
752294676 752297616 2940
752306796 752343576 36780
752345616 752354076 8460
752355576 752368116 12540
752370696 752385396 14700
752388276 752396316 8040
752400996 752402556 1560
752411076 752416236 5160
752419356 752419536 180
752421456 752429196 7740
752433396 752437896 4500
752438496 752443296 4800
752446236 752453796 7560
752461116 752462016 900
752463156 752476176 13020
752478096 752487995 9899
752491836 752492856 1020
752495616 752495916 300
752498676 752498793 117
752504796 752512476 7680
752518296 752520096 1800
752523636 752529690 6054
752531196 752534136 2940
752580099 752585259 5160
752585308 752588428 3120
752593108 752604868 11760
752631688 752636848 5160
752638408 752639668 1260
752665768 752670327 4559
752670928 752673448 2520
752673530 752677604 4074
752681090 752684024 2934
752686010 752692964 6954
752702990 752704304 1314
752706470 752709290 2820
752709344 752711204 1860
752712344 752713304 960
752716004 752730224 14220
752734844 752776304 41460
752776325 752783144 6819
752785565 752789444 3879
752791565 752795324 3759
752796005 752798804 2799
752800505 752801885 1380
752813825 752820044 6219
752822525 752831744 9219
752833745 752835824 2079
752836625 752838764 2139
752839325 752846264 6939
752846465 752871284 24819
752873765 752875604 1839
752876765 752877524 759
752878205 752884484 6279
752885645 752886104 459
752891045 752892005 960
752894525 752904704 10179
752905505 752906684 1179
752907065 752907404 339
752907845 752908124 279
752908865 752915204 6339
752916185 752918864 2679
752919665 752921984 2319
752924285 752925344 1059
752926925 752927144 219
752927585 752929664 2079
752930345 752931524 1179
752932385 752933924 1539
752946464 752947531 1067
752951081 752962590 11509
752965841 752966501 660
752969801 752974541 4740
752976281 752977537 1256
752982461 752984261 1800
752988221 752992361 4140
752993741 753028841 35100
753143242 753144262 1020
753149062 753150622 1560
753154402 753156742 2340
753161422 753163942 2520
753164542 753174802 10260
753175702 753176182 480
753180982 753182362 1380
753243692 753245552 1860
753251072 753255272 4200
753257792 753258632 840
753260732 753261932 1200
753263492 753265291 1799
753266192 753266792 600
753268232 753268772 540
753270152 753270265 113
753334196 753334364 168
753340136 753340964 828
753342056 753342644 588
753350216 753350504 288
753351656 753351824 168
753352316 753353804 1488
753354656 753355124 468
753355736 753356684 948
753357236 753357824 588
753360836 753370844 10008
753373676 753377864 4188
753381296 753383624 2328
753385616 753389504 3888
753390056 753396344 6288
753397196 753399224 2028
753405176 753405567 391
753405568 753406261 693
753406262 753406604 342
753407096 753407624 528
753408236 753408464 228
753409136 753416444 7308
753418496 753421184 2688
753422036 753422684 648
753424136 753424364 228
753426296 753427724 1428
753428756 753430904 2148
753432776 753433076 300
753433136 753434984 1848
753436136 753436544 408
753441056 753441776 720
753441896 753443744 1848
753444656 753463184 18528
753466736 753475904 9168
753477596 753479144 1548
753479876 753480644 768
753481496 753486104 4608
753487196 753489104 1908
753490196 753492284 2088
753493196 753493724 528
753495296 753499676 4380
753499735 753503864 4129
753504415 753529555 25140
753529626 753534224 4598
753537606 753542864 5258
753544326 753554384 10058
753555486 753625304 69818
753629886 753629984 98
753631926 753642824 10898
753644406 753653264 8858
753655686 753659624 3938
753661266 753680264 18998
753682086 753682484 398
753683466 753688124 4658
753690366 753691784 1418
753693966 753696524 2558
753706626 753712124 5498
753713526 753715664 2138
753717006 753719024 2018
753720126 753720906 780
753721086 753729486 8400
753749346 753752924 3578
753753666 753771404 17738
753773046 753780644 7598
753781986 753784484 2498
753785946 753789284 3338
753841746 753841904 158
753887779 753888379 600
753934790 753934964 174
753935690 753944444 8754
753946670 753948764 2094
753951110 753956744 5634
753958130 753970244 12114
753971390 753995564 24174
754006850 754073804 66954
754102190 754103073 883
754103074 754103643 569
754103644 754110464 6820
754113350 754115680 2330
754117370 754117724 354
754138263 754139204 941
754140243 754140704 461
754143183 754143764 581
754148523 754154144 5621
754158723 754160684 1961
754167123 754186664 19541
754189323 754204484 15161
754205943 754231964 26021
754233183 754246724 13541
