START-GPS   STOP-GPS   LENGTH
793130413 793130726 313
793131437 793135635 4198
793142194 793142231 37
793142295 793142352 57
793142390 793147745 5355
793148299 793148589 290
793148591 793152000 3409
793154127 793156030 1903
793162420 793162750 330
793166407 793177761 11354
793177763 793187324 9561
793187326 793190952 3626
793191605 793191972 367
793194920 793197885 2965
793199648 793200078 430
793200080 793200797 717
793200799 793211672 10873
793213244 793229629 16385
793230989 793233352 2363
793234888 793253981 19093
793254583 793271156 16573
793411900 793414666 2766
793415238 793416493 1255
793417079 793417675 596
793417677 793425640 7963
793425708 793425772 64
793425811 793425813 2
793428190 793429969 1779
793429971 793437205 7234
793437207 793438652 1445
793438654 793441084 2430
793441532 793442312 780
793442970 793459065 16095
793477271 793480189 2918
793480190 793491340 11150
793491342 793494221 2879
793494223 793494942 719
793494944 793508376 13432
793508378 793516372 7994
793517593 793523980 6387
793523981 793527086 3105
793527666 793528354 688
793529512 793531736 2224
793531738 793537151 5413
793538262 793548555 10293
793548556 793549525 969
793551160 793560597 9437
793560599 793562179 1580
793562180 793566498 4318
793566499 793573781 7282
793575395 793578474 3079
793578940 793588242 9302
793591342 793595884 4542
793595886 793597600 1714
793598265 793598768 503
793599374 793600571 1197
793602211 793603230 1019
793605813 793606857 1044
793609176 793609801 625
793610664 793610734 70
793612085 793612683 598
793612953 793613585 632
793617933 793618585 652
793620892 793620965 73
793621788 793622266 478
793627776 793627845 69
793668064 793668407 343
793669308 793669958 650
793670993 793673732 2739
793674439 793677798 3359
793703763 793712676 8913
793712678 793719897 7219
793723924 793725709 1785
793725752 793738414 12662
793750481 793761883 11402
793763206 793764116 910
793764118 793767229 3111
793767679 793775471 7792
793775473 793784111 8638
793784732 793784876 144
793784878 793787047 2169
793787049 793787380 331
793788056 793796485 8429
793805513 793805691 178
793808248 793815236 6988
793815238 793825214 9976
793825216 793831883 6667
793831894 793832529 635
793832578 793833050 472
793833052 793855685 22633
793855687 793856408 721
793856410 793873834 17424
793877308 793879456 2148
793879839 793881135 1296
793881409 793888207 6798
793888209 793895966 7757
793898250 793908886 10636
793930050 793946324 16274
793946326 793950154 3828
793951441 793958124 6683
793958930 793965828 6898
793965830 793971199 5369
793971201 793975738 4537
793976166 793983477 7311
793983479 793984199 720
793984201 793985940 1739
793986886 794001766 14880
794004919 794010913 5994
794010915 794011736 821
794018388 794021004 2616
794021006 794027184 6178
794028147 794039731 11584
794039733 794052703 12970
794052705 794053260 555
794053262 794056304 3042
794056306 794088933 32627
794096013 794101703 5690
794101705 794118254 16549
794118256 794121293 3037
794122270 794122718 448
794131532 794132615 1083
794133537 794143440 9903
794143442 794144880 1438
794144882 794147762 2880
794147764 794149925 2161
794149927 794150309 382
794158558 794176600 18042
794176602 794198143 21541
794198580 794200305 1725
794200307 794212488 12181
794216478 794234989 18511
794235097 794235661 564
794235663 794253844 18181
794253846 794254538 692
794255098 794259011 3913
794259435 794263864 4429
794264595 794268967 4372
794269296 794273839 4543
794273841 794278878 5037
794278880 794299008 20128
794299010 794330664 31654
794330666 794331084 418
794331086 794334260 3174
794334262 794336613 2351
794354965 794355380 415
794358589 794363698 5109
794368749 794410537 41788
794410539 794411258 719
794411260 794415951 4691
794415952 794419895 3943
794419897 794428546 8649
794428548 794433937 5389
794435079 794436992 1913
794437744 794440792 3048
794440794 794441913 1119
794447858 794451839 3981
794452839 794454558 1719
794463084 794464327 1243
794467897 794471715 3818
794471717 794477955 6238
794479274 794481072 1798
794481074 794484084 3010
794484148 794486111 1963
794486113 794494565 8452
794495210 794495451 241
794495948 794504847 8899
794504849 794511117 6268
794518193 794518839 646
794523357 794525768 2411
794526248 794526684 436
794526686 794538697 12011
794538699 794539417 718
794539419 794548047 8628
794548049 794549486 1437
794549488 794557400 7912
794557402 794562831 5429
794564851 794577359 12508
794584280 794586911 2631
794586913 794597716 10803
794597718 794599557 1839
794608688 794610618 1930
794611586 794614992 3406
794614994 794618428 3434
794619365 794629374 10009
794629376 794640178 10802
794640180 794640898 718
794640900 794648696 7796
794651105 794658188 7083
794658190 794670933 12743
794670935 794671647 712
794672387 794674029 1642
794674031 794675975 1944
794676612 794680583 3971
794682321 794683959 1638
794685119 794690570 5451
794691527 794693488 1961
794693490 794693776 286
794699246 794701439 2193
794702248 794724533 22285
794725814 794730901 5087
794730903 794734815 3912
794735382 794736618 1236
794737334 794760791 23457
794760793 794762778 1985
794762780 794765129 2349
794766396 794786776 20380
794790002 794800742 10740
794800804 794820780 19976
794822233 794825787 3554
794825789 794837321 11532
794838856 794842390 3534
794843118 794843125 7
794843692 794844140 448
794844615 794845184 569
794845186 794849335 4149
794849930 794851714 1784
794852479 794853269 790
794853869 794855492 1623
794856362 794858520 2158
794859535 794864336 4801
794867121 794867656 535
794868287 794869072 785
794870049 794870081 32
794871505 794881144 9639
794881146 794881240 94
794885696 794919251 33555
794919253 794922850 3597
794922852 794928571 5719
794929426 794934261 4835
794936465 794940042 3577
794940884 794941506 622
794942565 794946606 4041
794946608 794954632 8024
794954634 794955567 933
794956286 794959559 3273
794959561 794965311 5750
794965313 794969626 4313
794969628 794971781 2153
794971783 794984823 13040
794984825 794985445 620
794985447 794996949 11502
794996951 794998170 1219
795001391 795004178 2787
795004935 795007236 2301
795008032 795016875 8843
795017911 795018093 182
795018561 795019308 747
795020026 795022398 2372
795023059 795023801 742
795024627 795025715 1088
795025717 795025798 81
795026904 795028686 1782
795030078 795030682 604
795034734 795036076 1342
795037563 795039127 1564
795039884 795042333 2449
795048015 795048517 502
795049321 795049454 133
795050360 795050948 588
795051436 795052309 873
795053249 795054298 1049
795056347 795057106 759
795060462 795061226 764
795061228 795062491 1263
795063786 795064538 752
795064540 795070852 6312
795071747 795073790 2043
795074405 795074515 110
795074523 795074526 3
795074532 795074662 130
795078428 795080482 2054
795081454 795082561 1107
795083663 795085516 1853
795086797 795089645 2848
795090280 795093895 3615
795094982 795097633 2651
795099705 795101229 1524
795106277 795106442 165
795107228 795108757 1529
795110586 795110593 7
795110681 795113408 2727
795114409 795114939 530
795115858 795121514 5656
795122918 795123575 657
795124110 795132890 8780
795132892 795154805 21913
795154807 795157224 2417
795160115 795171015 10900
795171017 795171735 718
795171737 795183262 11525
795183264 795187585 4321
795187587 795195001 7414
795195003 795200552 5549
795200554 795208793 8239
795208795 795214616 5821
795223834 795233668 9834
795233670 795248144 14474
795248146 795248770 624
795248772 795255894 7122
795256629 795273966 17337
795273968 795279000 5032
795279002 795281161 2159
795281163 795282846 1683
795287278 795289488 2210
795302885 795305635 2750
795305637 795320870 15233
795329858 795332961 3103
795332963 795337748 4785
795338572 795350497 11925
795350499 795367517 17018
795367519 795371046 3527
795371048 795380488 9440
795380490 795381852 1362
795381854 795382085 231
795384630 795386538 1908
795387110 795390058 2948
795391230 795394811 3581
795395467 795404955 9488
795404957 795428674 23717
795428676 795443813 15137
795449814 795457444 7630
795457446 795458884 1438
795458886 795459903 1017
795460401 795471107 10706
795471109 795471738 629
795472249 795489340 17091
795489342 795496968 7626
795496970 795497686 716
795497688 795514432 16744
795514957 795517808 2851
795517810 795518555 745
795521717 795522980 1263
795524120 795527510 3390
795528411 795531460 3049
795531462 795541257 9795
795541845 795545665 3820
795546542 795546932 390
795547425 795547426 1
795547493 795555326 7833
795555898 795555972 74
795555974 795561910 5936
795562355 795565700 3345
795566258 795568822 2564
795568824 795591096 22272
795591098 795601582 10484
795602844 795609214 6370
795610002 795631110 21108
795631607 795640719 9112
795640721 795641941 1220
795642682 795645037 2355
795645039 795645761 722
795646386 795670943 24557
795670945 795679213 8268
