#Freq(Hz)	Mag(counts/strain)	Phase(rad)
0	0	0
0.015625	1.670979e+018	-0.00019406
0.03125	1.670979e+018	-0.00038813
0.046875	1.670979e+018	-0.00058219
0.0625	1.670979e+018	-0.00077626
0.078125	1.670978e+018	-0.00097032
0.09375	1.670978e+018	-0.0011644
0.10938	1.670978e+018	-0.0013585
0.125	1.670977e+018	-0.0015525
0.14063	1.670977e+018	-0.0017466
0.15625	1.670976e+018	-0.0019406
0.17188	1.670976e+018	-0.0021347
0.1875	1.670975e+018	-0.0023288
0.20313	1.670974e+018	-0.0025228
0.21875	1.670974e+018	-0.0027169
0.23438	1.670973e+018	-0.002911
0.25	1.670972e+018	-0.003105
0.26563	1.670971e+018	-0.0032991
0.28125	1.670970e+018	-0.0034931
0.29688	1.670969e+018	-0.0036872
0.3125	1.670968e+018	-0.0038813
0.32813	1.670967e+018	-0.0040753
0.34375	1.670966e+018	-0.0042694
0.35938	1.670965e+018	-0.0044635
0.375	1.670964e+018	-0.0046575
0.39063	1.670962e+018	-0.0048516
0.40625	1.670961e+018	-0.0050456
0.42188	1.670959e+018	-0.0052397
0.4375	1.670958e+018	-0.0054338
0.45313	1.670956e+018	-0.0056278
0.46875	1.670955e+018	-0.0058219
0.48438	1.670953e+018	-0.0060159
0.5	1.670952e+018	-0.00621
0.51563	1.670950e+018	-0.0064041
0.53125	1.670948e+018	-0.0065981
0.54688	1.670946e+018	-0.0067922
0.5625	1.670944e+018	-0.0069862
0.57813	1.670942e+018	-0.0071803
0.59375	1.670940e+018	-0.0073743
0.60938	1.670938e+018	-0.0075684
0.625	1.670936e+018	-0.0077625
0.64063	1.670934e+018	-0.0079565
0.65625	1.670932e+018	-0.0081506
0.67188	1.670929e+018	-0.0083446
0.6875	1.670927e+018	-0.0085387
0.70313	1.670925e+018	-0.0087327
0.71875	1.670922e+018	-0.0089268
0.73438	1.670920e+018	-0.0091208
0.75	1.670917e+018	-0.0093149
