%Time	alpha*beta	alpha	beta	darm	LineAmp/ref
714240000          0          0          0          0          0
714240060          0          0          0          0          0
714240120          0          0          0          0          0
714240180          0          0          0          0          0
714240240          0          0          0          0          0
714240300          0          0          0          0          0
714240360          0          0          0          0          0
714240420          0          0          0          0          0
714240480          0          0          0          0          0
714240540          0          0          0          0          0
714240600          0          0          0          0          0
714240660          0          0          0          0          0
714240720          0          0          0          0          0
714240780          0          0          0          0          0
714240840          0          0          0          0          0
714240900          0          0          0          0          0
714240960          0          0          0          0          0
714241020          0          0          0          0          0
714241080          0          0          0          0          0
714241140          0          0          0          0          0
714241200          0          0          0          0          0
714241260          0          0          0          0          0
714241320          0          0          0          0          0
714241380          0          0          0          0          0
714241440          0          0          0          0          0
714241500          0          0          0          0          0
714241560          0          0          0          0          0
714241620          0          0          0          0          0
714241680          0          0          0          0          0
714241740          0          0          0          0          0
714241800          0          0          0          0          0
714241860          0          0          0          0          0
714241920          0          0          0          0          0
714241980          0          0          0          0          0
714242040          0          0          0          0          0
714242100          0          0          0          0          0
714242160          0          0          0          0          0
714242220          0          0          0          0          0
714242280          0          0          0          0          0
714242340                   0                   0                   0                   0     0.6291443397528
714242400                   0                   0                   0                   0    0.02628913522358
714242460                   0                   0                   0                   0     0.4096593366496
714242520          0          0          0          0          0
714242580                   0                   0                   0                   0     0.8137028613357
714242640          0          0          0          0          0
714242700                   0                   0                   0                   0     0.5018374072885
714242760          0          0          0          0          0
714242820          0          0          0          0          0
714242880                   0                   0                   0                   0     0.1498476427087
714242940          0          0          0          0          0
714243000                   0                   0                   0                   0     0.2123749458616
714243060                   0                   0                   0                   0      0.622070085471
714243120          0          0          0          0          0
714243180                   0                   0                   0                   0     0.6045996901565
714243240          0          0          0          0          0
714243300          0          0          0          0          0
714243360                   0                   0                   0                   0     0.1194891479146
714243420          0          0          0          0          0
714243480          0          0          0          0          0
714243540                   0                   0                   0                   0    0.04225764166025
714243600          0          0          0          0          0
714243660                   0                   0                   0                   0     0.1458401866367
714243720          0          0          0          0          0
714243780          0          0          0          0          0
714243840                   0                   0                   0                   0     0.1365464507328
714243900                   0                   0                   0                   0     0.3074631994026
714243960                   0                   0                   0                   0     0.2026744569399
714244020          0          0          0          0          0
714244080          0          0          0          0          0
714244140                   0                   0                   0                   0    0.01752551858972
714244200                   0                   0                   0                   0    0.01439920173286
714244260                   0                   0                   0                   0   0.001979090407394
714244320          0          0          0          0          0
714244380                   0                   0                   0                   0    0.01643773048721
714244440          0          0          0          0          0
714244500                   0                   0                   0                   0     0.0453490128964
714244560                   0                   0                   0                   0      0.029654873053
714244620                   0                   0                   0                   0    0.03909766519119
714244680                   0                   0                   0                   0    0.02774388253152
714244740                   0                   0                   0                   0    0.08783045626163
714244800          0          0          0          0          0
714244860                   0                   0                   0                   0    0.01383684772388
714244920                   0                   0                   0                   0    0.01325058482444
714244980                   0                   0                   0                   0   0.001775022593449
714245040                   0                   0                   0                   0    0.03782147382431
714245100          0          0          0          0          0
714245160          0          0          0          0          0
714245220          0          0          0          0          0
714245280                   0                   0                   0                   0    0.01821035736154
714245340          0          0          0          0          0
714245400          0          0          0          0          0
714245460          0          0          0          0          0
714245520                   0                   0                   0                   0   0.005304542360139
714245580          0          0          0          0          0
714245640                   0                   0                   0                   0    0.03121673339773
714245700                   0                   0                   0                   0     0.0748449703166
