#Freq(Hz)	Mag(strain/ct)	Phase(rad)
0	9.7673e-008	0
0.015625	1.3218e-007	0.0008055
0.03125	2.5352e-007	0.0078781
0.046875	2.9268e-007	3.1151
0.0625	1.152e-007	3.1176
0.078125	4.3478e-008	3.1243
0.09375	2.9436e-008	3.1216
0.10938	2.1041e-008	3.1192
0.125	1.4795e-008	3.1182
0.14063	1.1656e-008	3.1155
0.15625	9.4298e-009	3.1127
0.17188	7.8329e-009	3.1098
0.1875	6.6151e-009	3.1069
0.20313	5.6221e-009	3.1041
0.21875	4.942e-009	3.1006
0.23438	4.3599e-009	3.0973
0.25	3.8795e-009	3.0939
0.26563	3.4427e-009	3.091
0.28125	3.1272e-009	3.0872
0.29688	2.8371e-009	3.0838
0.3125	2.6214e-009	3.0796
0.32813	2.428e-009	3.0754
0.34375	2.2562e-009	3.0711
0.35938	2.1109e-009	3.0666
0.375	1.989e-009	3.0617
0.39063	1.8792e-009	3.0566
0.40625	1.7892e-009	3.0511
0.42188	1.71e-009	3.0452
0.4375	1.6496e-009	3.0384
0.45313	1.5903e-009	3.0318
0.46875	1.548e-009	3.024
0.48438	1.5124e-009	3.0156
0.5	1.4808e-009	3.0067
0.51563	1.4657e-009	2.9962
0.53125	1.4556e-009	2.9846
0.54688	1.4527e-009	2.9719
0.5625	1.459e-009	2.9573
0.57813	1.4808e-009	2.9403
0.59375	1.5125e-009	2.9203
0.60938	1.5614e-009	2.8963
0.625	1.6292e-009	2.8678
0.64063	1.7169e-009	2.8327
0.65625	1.8347e-009	2.7884
0.67188	1.9962e-009	2.7301
0.6875	2.215e-009	2.6516
0.70313	2.517e-009	2.5421
0.71875	2.904e-009	2.382
0.73438	3.3744e-009	2.1421
0.75	3.7092e-009	1.7992
0.76563	3.5729e-009	1.393
0.78125	2.9782e-009	1.0344
0.79688	2.3285e-009	0.77869
0.8125	1.8159e-009	0.60848
0.82813	1.4424e-009	0.49198
0.84375	1.1673e-009	0.41007
0.85938	9.6577e-010	0.34927
0.875	8.123e-010	0.30273
0.89063	6.9183e-010	0.26632
0.90625	5.9708e-010	0.23661
0.92188	5.1999e-010	0.21227
0.9375	4.5654e-010	0.19185
0.95313	4.0455e-010	0.17422
0.96875	3.6028e-010	0.15895
0.98438	3.2276e-010	0.14578
1	2.9057e-010	0.13407
1.0156	2.632e-010	0.12332
1.0313	2.3882e-010	0.11413
1.0469	2.1764e-010	0.10564
1.0625	1.9923e-010	0.097607
1.0781	1.8264e-010	0.090592
1.0938	1.6787e-010	0.084156
1.1094	1.5521e-010	0.077543
1.125	1.4336e-010	0.071943
1.1406	1.3279e-010	0.066704
1.1563	1.2335e-010	0.061507
1.1719	1.1475e-010	0.056731
1.1875	1.0701e-010	0.052118
1.2031	9.9905e-011	0.047875
1.2188	9.3519e-011	0.043597
1.2344	8.756e-011	0.039778
1.25	8.218e-011	0.035777
1.2656	7.7082e-011	0.032374
1.2813	7.2576e-011	0.028734
1.2969	6.8407e-011	0.025157
1.3125	6.4467e-011	0.021978
1.3281	6.0921e-011	0.018662
1.3438	5.7516e-011	0.015626
1.3594	5.4336e-011	0.012952
1.375	5.1558e-011	0.0094859
1.3906	4.88e-011	0.0068906
1.4063	4.6368e-011	0.0037187
1.4219	4.4032e-011	0.0010236
1.4375	4.1791e-011	-0.0015038
1.4531	3.9798e-011	-0.0043963
1.4688	3.7835e-011	-0.0067712
1.4844	3.6091e-011	-0.0097437
1.5	3.4417e-011	-0.01245
1.5156	3.2835e-011	-0.014892
1.5313	3.1329e-011	-0.017302
1.5469	2.9901e-011	-0.019575
1.5625	2.8624e-011	-0.022434
1.5781	2.7384e-011	-0.024924
1.5938	2.6241e-011	-0.027658
1.6094	2.5074e-011	-0.029471
1.625	2.4008e-011	-0.03176
1.6406	2.3058e-011	-0.034547
1.6563	2.2152e-011	-0.037323
1.6719	2.1263e-011	-0.03972
1.6875	2.0389e-011	-0.041776
1.7031	1.9619e-011	-0.04448
1.7188	1.883e-011	-0.046492
1.7344	1.8114e-011	-0.048911
1.75	1.7467e-011	-0.051862
1.7656	1.6796e-011	-0.053979
1.7813	1.6167e-011	-0.056227
1.7969	1.5609e-011	-0.059224
1.8125	1.5031e-011	-0.061351
1.8281	1.4505e-011	-0.063895
1.8438	1.3985e-011	-0.066146
1.8594	1.3495e-011	-0.068623
1.875	1.3043e-011	-0.071294
1.8906	1.2594e-011	-0.073703
1.9063	1.2163e-011	-0.076021
1.9219	1.1764e-011	-0.078699
1.9375	1.1374e-011	-0.081162
1.9531	1.0998e-011	-0.083593
1.9688	1.0635e-011	-0.085951
1.9844	1.0298e-011	-0.08862
2	9.9703e-012	-0.091113
2.0156	9.6619e-012	-0.093868
2.0313	9.362e-012	-0.096491
2.0469	9.0576e-012	-0.09853
2.0625	8.793e-012	-0.10167
2.0781	8.5353e-012	-0.10462
2.0938	8.2558e-012	-0.10628
2.1094	8.02e-012	-0.10934
2.125	7.7878e-012	-0.11221
2.1406	7.5593e-012	-0.11489
2.1563	7.3492e-012	-0.11806
2.1719	7.1402e-012	-0.12084
2.1875	6.9366e-012	-0.12361
2.2031	6.7328e-012	-0.126
2.2188	6.5538e-012	-0.12935
2.2344	6.3647e-012	-0.13172
2.25	6.1927e-012	-0.13471
2.2656	6.0226e-012	-0.13752
2.2813	5.858e-012	-0.14038
2.2969	5.7021e-012	-0.14341
2.3125	5.5545e-012	-0.14665
2.3281	5.4029e-012	-0.1492
2.3438	5.2698e-012	-0.15286
2.3594	5.1297e-012	-0.15569
2.375	4.9986e-012	-0.15881
2.3906	4.8711e-012	-0.16195
2.4063	4.7492e-012	-0.16519
2.4219	4.634e-012	-0.16874
2.4375	4.5132e-012	-0.17149
2.4531	4.4029e-012	-0.17484
2.4688	4.2921e-012	-0.17785
2.4844	4.1935e-012	-0.18176
2.5	4.0903e-012	-0.18488
2.5156	3.9936e-012	-0.1884
2.5313	3.8992e-012	-0.1919
2.5469	3.8007e-012	-0.19461
2.5625	3.7136e-012	-0.19834
2.5781	3.6272e-012	-0.2018
2.5938	3.5396e-012	-0.20494
2.6094	3.4544e-012	-0.20803
2.625	3.3844e-012	-0.2128
2.6406	3.307e-012	-0.21631
2.6563	3.2327e-012	-0.22002
2.6719	3.1566e-012	-0.22315
2.6875	3.09e-012	-0.22749
2.7031	3.0161e-012	-0.23035
2.7188	2.9489e-012	-0.23403
2.7344	2.8895e-012	-0.23866
2.75	2.8272e-012	-0.24259
2.7656	2.7641e-012	-0.24609
2.7813	2.7018e-012	-0.24955
2.7969	2.6485e-012	-0.25428
2.8125	2.5927e-012	-0.25832
2.8281	2.5374e-012	-0.26227
2.8438	2.4835e-012	-0.26618
2.8594	2.4295e-012	-0.2698
2.875	2.3821e-012	-0.27456
2.8906	2.331e-012	-0.27834
2.9063	2.2829e-012	-0.28248
2.9219	2.2332e-012	-0.28603
2.9375	2.1903e-012	-0.29085
2.9531	2.1463e-012	-0.29521
2.9688	2.1041e-012	-0.29978
2.9844	2.0596e-012	-0.30353
3	2.018e-012	-0.30782
3.0156	1.9832e-012	-0.31358
3.0313	1.9392e-012	-0.31679
3.0469	1.9048e-012	-0.32226
3.0625	1.8663e-012	-0.32649
3.0781	1.8322e-012	-0.3317
3.0938	1.7963e-012	-0.33615
3.1094	1.7624e-012	-0.34102
3.125	1.727e-012	-0.34523
3.1406	1.6932e-012	-0.34973
3.1563	1.6616e-012	-0.35467
3.1719	1.6298e-012	-0.35935
3.1875	1.5995e-012	-0.36434
3.2031	1.569e-012	-0.36907
3.2188	1.5407e-012	-0.37435
3.2344	1.5119e-012	-0.37928
3.25	1.484e-012	-0.38432
3.2656	1.4557e-012	-0.38897
3.2813	1.4273e-012	-0.39344
3.2969	1.4024e-012	-0.39906
3.3125	1.3748e-012	-0.40335
3.3281	1.3522e-012	-0.40952
3.3438	1.3291e-012	-0.41536
3.3594	1.302e-012	-0.41928
3.375	1.2798e-012	-0.4251
3.3906	1.2567e-012	-0.43034
3.4063	1.2324e-012	-0.43485
3.4219	1.2116e-012	-0.44077
3.4375	1.1892e-012	-0.4458
3.4531	1.1686e-012	-0.45144
3.4688	1.1481e-012	-0.45705
3.4844	1.1271e-012	-0.46214
3.5	1.1084e-012	-0.46826
3.5156	1.0873e-012	-0.47291
3.5313	1.0696e-012	-0.47925
3.5469	1.0493e-012	-0.48397
3.5625	1.032e-012	-0.49021
3.5781	1.0132e-012	-0.4953
3.5938	9.9719e-013	-0.502
3.6094	9.7871e-013	-0.50695
