# Segment list file created Sun May 04 03:55:05 PM CDT 2008 by siemens on serenity.phys.uwm.edu
# Input: web-based segment information (run S5, ifos H2)
# H2 segment info extracted from seg_cit at 893865614
# Don't analyze data with the following flags: H2:AS_TRIGGER:v1 H2:AS_TRIGGER:v2 H2:AS_TRIGGER:v10 H2:AS_TRIGGER:v11 H2:AS_TRIGGER:v99 H2:ASC_Overflow:v0 H2:ASC_Overflow:v1 H2:ASC_Overflow:v10 H2:ASC_Overflow:v11 H2:ASC_Overflow:v12 H2:ASC_Overflow:v99 H2:ASI_CORR_OVERFLOW:v0 H2:ASI_CORR_OVERFLOW:v1 H2:ASI_CORR_OVERFLOW:v2 H2:ASI_CORR_OVERFLOW:v3 H2:ASI_CORR_OVERFLOW:v10 H2:ASI_CORR_OVERFLOW:v11 H2:ASI_CORR_OVERFLOW:v12 H2:ASI_CORR_OVERFLOW:v99 H2:CALIB_BAD_COEFFS_60:v1 H2:CALIB_BAD_COEFFS_60:v2 H2:CALIB_BAD_COEFFS_60:v10 H2:CALIB_BAD_COEFFS_60:v99 H2:CALIB_DROPOUT_1SAMPLE:v1 H2:CALIB_DROPOUT_1SAMPLE:v3 H2:CALIB_DROPOUT_1SAMPLE:v4 H2:CALIB_DROPOUT_1SAMPLE:v10 H2:CALIB_DROPOUT_1SAMPLE:v11 H2:CALIB_DROPOUT_1SAMPLE:v99 H2:CALIB_DROPOUT_1SEC:v1 H2:CALIB_DROPOUT_1SEC:v3 H2:CALIB_DROPOUT_1SEC:v4 H2:CALIB_DROPOUT_1SEC:v10 H2:CALIB_DROPOUT_1SEC:v11 H2:CALIB_DROPOUT_1SEC:v99 H2:CALIB_DROPOUT_AWG_STUCK:v1 H2:CALIB_DROPOUT_AWG_STUCK:v3 H2:CALIB_DROPOUT_AWG_STUCK:v4 H2:CALIB_DROPOUT_AWG_STUCK:v10 H2:CALIB_DROPOUT_AWG_STUCK:v11 H2:CALIB_DROPOUT_AWG_STUCK:v99 H2:CALIB_GLITCH_ZG:v1 H2:CALIB_GLITCH_ZG:v3 H2:CALIB_GLITCH_ZG:v4 H2:CALIB_GLITCH_ZG:v10 H2:CALIB_GLITCH_ZG:v11 H2:CALIB_GLITCH_ZG:v99 H2:INVALID_DARMERR:v1 H2:INVALID_DARMERR:v10 H2:INVALID_DARMERR:v99 H2:MASTER_OVERFLOW_LSC:v1 H2:MASTER_OVERFLOW_LSC:v10 H2:MASTER_OVERFLOW_LSC:v11 H2:MASTER_OVERFLOW_LSC:v99 H2:MISSING_RAW:v1 H2:MISSING_RAW:v10 H2:MISSING_RAW:v11 H2:MISSING_RAW:v99 H2:MISSING_RDS_C03_L2:v1 H2:MISSING_RDS_C03_L2:v2 H2:MISSING_RDS_C03_L2:v10 H2:MISSING_RDS_C03_L2:v11 H2:MISSING_RDS_C03_L2:v99 H2:MISSING_RDS_LEVEL_1:v1 H2:MISSING_RDS_LEVEL_1:v10 H2:MISSING_RDS_LEVEL_1:v11 H2:MISSING_RDS_LEVEL_1:v99 H2:NO_CALIB_LINE:v1 H2:NO_CALIB_LINE:v10 H2:NO_CALIB_LINE:v11 H2:NO_CALIB_LINE:v99 H2:OUT_OF_LOCK:v1 H2:OUT_OF_LOCK:v10 H2:OUT_OF_LOCK:v11 H2:OUT_OF_LOCK:v99 H2:PRE_LOCKLOSS_30_SEC:v1 H2:PRE_LOCKLOSS_30_SEC:v10 H2:PRE_LOCKLOSS_30_SEC:v11 H2:PRE_LOCKLOSS_30_SEC:v99 H2:SEVERE_LSC_OVERFLOW:v0 H2:SEVERE_LSC_OVERFLOW:v1 H2:SEVERE_LSC_OVERFLOW:v2 H2:SEVERE_LSC_OVERFLOW:v3 H2:SEVERE_LSC_OVERFLOW:v10 H2:SEVERE_LSC_OVERFLOW:v11 H2:SEVERE_LSC_OVERFLOW:v12 H2:SEVERE_LSC_OVERFLOW:v99
# Total duration of segments to be analyzed: 47445391
#seg    start      stop    duration
   2  815200973  815211793  10820
   3  815211991  815214704   2713
   4  815215435  815215912    477
   4  815215915  815216053    138
   4  815216065  815216066      1
   5  815216171  815216341    170
   6  815217937  815217973     36
   7  815219912  815221302   1390
   8  815221912  815223673   1761
   9  815223886  815230076   6190
  10  815231235  815236327   5092
  10  815236330  815238073   1743
  11  815238084  815239830   1746
  11  815239836  815239933     97
  12  815240846  815247133   6287
  13  815247994  815252520   4526
  14  815265560  815265587     27
  14  815265590  815266813   1223
  15  815267210  815267722    512
  15  815267726  815271379   3653
  16  815298136  815298300    164
  16  815298304  815299861   1557
  17  815300562  815303630   3068
  18  815304110  815304733    623
  19  815306225  815306385    160
  19  815306389  815306451     62
  19  815306454  815306473     19
  20  815307250  815307298     48
  22  815310056  815313313   3257
  23  815313998  815314551    553
  23  815314554  815322773   8219
  23  815322776  815332213   9437
  24  815341180  815341710    530
  25  815365597  815370539   4942
  27  815373336  815373550    214
  28  815373979  815378706   4727
  29  815386833  815386846     13
  30  815386853  815394298   7445
  31  815395535  815399070   3535
  31  815399073  815403144   4071
  31  815403147  815404213   1066
  32  815405223  815409013   3790
  33  815409614  815411213   1599
  33  815411216  815413813   2597
  34  815420229  815420653    424
  35  815421978  815422019     41
  35  815422023  815422249    226
  36  815425980  815426370    390
  36  815426373  815426715    342
  36  815426718  815426764     46
  37  815447636  815447653     17
  39  815450233  815450653    420
  40  815456378  815456690    312
  41  815457216  815458676   1460
  42  815466304  815467965   1661
  42  815467968  815468827    859
  42  815468830  815469854   1024
  42  815469858  815470933   1075
  43  815471953  815480173   8220
  44  815533002  815533215    213
  45  815533392  815533523    131
  46  815533909  815533948     39
  47  815534401  815534509    108
  48  815543063  815551004   7941
  49  815552578  815555551   2973
  50  815563790  815571762   7972
  51  815576075  815603078  27003
  52  815604477  815607778   3301
  52  815607781  815609744   1963
  52  815609747  815610493    746
  53  815616627  815620202   3575
  54  815623237  815626093   2856
  55  815627414  815635933   8519
  56  815637315  815643272   5957
  57  815653666  815656032   2366
  57  815656035  815657911   1876
  57  815657913  815658129    216
  58  815658745  815661955   3210
  59  815662541  815662655    114
  59  815662658  815663154    496
  60  815664550  815671163   6613
  60  815671166  815673127   1961
  61  815673390  815682411   9021
  62  815683820  815685155   1335
  62  815685157  815686813   1656
  63  815689734  815692264   2530
  64  815692761  815696384   3623
  64  815696387  815700472   4085
  65  815705428  815708288   2860
  65  815708291  815712257   3966
  65  815712260  815717555   5295
  65  815717558  815725948   8390
  65  815725951  815726169    218
  65  815726172  815734224   8052
  66  815751076  815752009    933
  66  815752012  815752675    663
  66  815752677  815762619   9942
  66  815762621  815766659   4038
  67  815776688  815782499   5811
  67  815782502  815785267   2765
  67  815785269  815787139   1870
  67  815787141  815788933   1792
  68  815790062  815791332   1270
  69  815791888  815804373  12485
  69  815804376  815805959   1583
  69  815805962  815807688   1726
  69  815807691  815809028   1337
  70  815813090  815820239   7149
  71  815821082  815838188  17106
  71  815838191  815838631    440
  71  815838633  815839517    884
  71  815839520  815844163   4643
  71  815844166  815846819   2653
  71  815846821  815848808   1987
  71  815848811  815852124   3313
  71  815852127  815855439   3312
  71  815855441  815858749   3308
  71  815858752  815867838   9086
  71  815867841  815868495    654
  71  815868497  815870680   2183
  71  815870686  815873371   2685
  71  815873373  815882712   9339
  71  815882713  815891899   9186
  71  815891902  815905168  13266
  71  815905171  815906023    852
  72  815906436  815906495     59
  72  815906497  815908915   2418
  73  815911204  815912457   1253
  73  815912460  815922399   9939
  73  815922402  815926220   3818
  73  815926223  815929695   3472
  73  815929698  815941068  11370
  74  815942702  815943820   1118
  74  815943823  815945597   1774
  74  815945600  815946920   1320
  74  815946923  815959604  12681
  75  815961820  815965885   4065
  75  815965888  815974257   8369
  75  815974260  815988433  14173
  76  815990222  815991982   1760
  76  815991985  815997949   5964
  76  815997952  815999302   1350
  77  815999744  816005653   5909
  77  816005656  816007893   2237
  77  816007896  816011873   3977
