# This is the BNS population 
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME	     #RA       #DEC	   #DIST   #LUM	 #FUDGE 	
SAGITTARIUS  +18:55.1  -30:32.4     24.0   0.001  1.0 
LMC          +05:23.3  -69:45.2     49.0   0.098  1.0 
SMC          +00:52.4  -72:49.4     58.0   0.039  1.0 
SEXTANSB     +10:00.0  +05:19.5    100.0   0.002  1.0 
FORNAX       +02:39.5  -34:26.5    138.0   0.001  1.0 
NGC6822      +19:44.5  -14:47.2    490.0   0.006  1.0 
NGC185       +00:38.5  +48:20.1    620.0   0.006  1.0 
IC1613       +01:04.4  +02:07.1    690.0   0.01   1.0 
NGC147       +00:33.1  +48:30.3    725.0   0.006  1.0 
M31          +00:42.4  +41:16.0    750.0   3.96   1.0 
M32          +00:42.4  +40:51.5    805.0   0.016  1.0 
M110         +00:40.2  +41:41.0    815.0   0.039  1.0 
M33          +01:33.5  +30:39.3    820.0   0.52  1.0 
IC10         +00:20.1  +59:18.1    825.0   0.016  1.0 
WLM          +00:01.5  -15:27.3    925.0   0.002  1.0 
PEGASUS      +23:28.3  +14:44.3    955.0   0.001  1.0 
SAGDIG       +19:29.5  -17:40.4   1060.0   0.001  1.0 
NGC3109      +10:03.0  -26:09.3   1250.0   0.016  1.0 
SEXTANSA     +10:11.0  -04:41.3   1440.0   0.006  1.0 
NGC55        +00:14.5  -39:11.4   1480.0   0.098  1.0 
IC5152       +22:02.4  -51:17.4   1590.0   0.006  1.0 
NGC1569      +04:26.0  +64:45.0   1600.0   0.055  1.0
NGC300       +00:54.5  -37:41.0   2020.0   0.26  1.0 
NGC247       +00:44.6  -21:01.0   2100.0   0.242  1.0
NGC2976      +09:43.2  +68:08.0   2100.0   0.044  1.0
NGC3077      +09:59.4  +68:59.0   2100.0   0.044  1.0
NGC4163      +12:09.6  +36:27.0   2100.0   0.004  1.0
UGC3974      +07:39.0  +16:55.0   2100.0   0.003  1.0
NGC4236      +12:14.3  +69:45.0   2200.0   0.126  1.0
NGC404       +01:06.7  +35:27.0   2400.0   0.043  1.0
UGC5666      +10:24.8  +68:40.0   2700.0   0.055  1.0
UGC8508      +13:28.8  +55:10.0   2700.0   0.002  1.0
NGC4190      +12:11.2  +36:55.0   2800.0   0.006  1.0
NGC7793      +23:55.3  -32:51.0   2800.0   0.185  1.0
UGC7559      +12:24.6  +37:25.0   2800.0   0.003  1.0
UGC8201      +13:04.5  +67:58.0   2800.0   0.011  1.0
NGC2366      +07:23.6  +69:18.0   2900.0   0.074  1.0
IC4662       +17:42.2  -64:37.0   3000.0   0.041  1.0
NGC1560      +04:27.1  +71:48.0   3000.0   0.055  1.0
NGC253       +00:45.1  -25:34.0   3000.0   1.585  1.0
NGC4449      +12:25.8  +44:22.0   3000.0   0.180  1.0
UGC7577      +12:25.2  +43:46.0   3000.0   0.011  1.0
NGC4244      +12:15.0  +38:05.0   3100.0   0.171  1.0
UGC6817      +11:48.2  +39:09.0   3100.0   0.008  1.0
NGC2403      +07:36.5  +65:36.0   3130.0   0.67  1.0 
UGC4115      +07:54.2  +14:31.0   3200.0   0.004  1.0
NGC5253      +12:39.5  -31:38.4   3250.0   0.12  1.0 
NGC2915      +09:26.5  -76:25.0   3300.0   0.020  1.0
UGC8760      +13:48.7  +38:16.0   3300.0   0.005  1.0
UGC8651      +13:37.8  +41:00.0   3400.0   0.005  1.0
NGC4214      +12:13.1  +36:36.0   3500.0   0.166  1.0
NGC5102      +13:19.1  -36:22.0   3500.0   0.169  1.0
UGC7599      +12:26.0  +37:30.0   3500.0   0.002  1.0
M81          +09:55.3  +69:04.0   3550.0   2.17  1.0 
NGC4395      +12:23.4  +33:49.0   3600.0   0.112  1.0
UGC8320      +13:12.2  +46:11.0   3600.0   0.024  1.0
NGC1313      +03:17.7  -66:41.0   3700.0   0.429  1.0
UGC7605      +12:26.2  +36:00.0   3700.0   0.003  1.0
UGC9240      +14:22.8  +44:44.0   3700.0   0.010  1.0
NGC4068      +12:01.5  +52:52.0   3800.0   0.021  1.0
UGC7321      +12:15.0  +22:49.0   3800.0   0.013  1.0
UGC7698      +12:30.4  +31:49.0   3800.0   0.014  1.0
NGC625       +01:32.9  -41:40.0   3900.0   0.054  1.0
UGC2847      +03:42.0  +67:56.0   3900.0   6.546  1.0
UGC8837      +13:52.9  +54:09.0   3900.0   0.013  1.0
NGC4605      +12:37.8  +61:53.0   4000.0   0.143  1.0
UGC6541      +11:30.8  +49:31.0   4000.0   0.009  1.0
UGC8024      +12:51.6  +27:25.0   4000.0   0.007  1.0
NGC4144      +12:07.5  +46:44.0   4100.0   0.087  1.0
NGC4826      +12:54.3  +21:57.0   4100.0   0.711  1.0
NGC5264      +13:38.8  -29:40.0   4200.0   0.029  1.0
T-1834       +14:09.3  -65:06.0   4200.0   4.831  1.0
NGC3738      +11:33.0  +54:47.0   4300.0   0.043  1.0
NGC4736      +12:48.6  +41:23.0   4300.0   0.871  1.0
UGC5139      +09:36.0  +71:25.0   4400.0   0.019  1.0
IC1574       +00:40.7  -22:31.0   4500.0   0.008  1.0
UGC4305      +08:14.1  +70:52.0   4500.0   0.134  1.0
UGC7866      +12:39.7  +38:46.0   4500.0   0.017  1.0
UGCA105      +05:09.6  +62:31.0   4500.0   0.065  1.0
IC4182       +13:05.4  +37:36.2   4530.0   0.06  1.0 
UGC1281      +01:46.7  +32:20.0   4600.0   0.061  1.0
UGC8331      +13:13.3  +47:46.0   4600.0   0.008  1.0
NGC5236      +13:34.2  -29:37.0   4700.0   2.070  1.0
NGC784       +01:58.4  +28:35.0   4700.0   0.095  1.0
UGCA281      +12:23.8  +48:46.0   4700.0   0.005  1.0
NGC5204      +13:27.7  +58:40.0   4800.0   0.081  1.0
NGC5128      +13:22.4  -42:45.0   4900.0   3.802  1.0
NGC5238      +13:32.7  +51:52.0   4900.0   0.018  1.0
NGC1400      +03:37.3  -18:51.0   5000.0   0.065  1.0
UGC5889      +10:44.7  +14:20.0   5100.0   0.009  1.0
NGC3034      +09:51.7  +69:55.0   5200.0   0.912  1.0
NGC4945      +13:02.5  -49:12.0   5200.0   2.831  1.0
A0255        +02:55.4  -54:46.0   5400.0   0.177  1.0
NGC3299      +10:33.8  +12:57.0   5400.0   0.024  1.0
NGC3593      +11:12.0  +13:05.0   5500.0   0.099  1.0
NGC6946      +20:33.8  +59:59.0   5500.0   3.192  1.0
NGC2683      +08:49.6  +33:38.0   5700.0   0.597  1.0
UGC7639      +12:27.5  +47:48.0   5800.0   0.021  1.0
NGC3274      +10:29.5  +27:55.0   5900.0   0.038  1.0
NGC45        +00:11.4  -23:27.0   5900.0   0.209  1.0
UGC5340      +09:53.8  +29:04.0   5900.0   0.009  1.0
UGC6900      +11:53.0  +31:49.0   5900.0   0.008  1.0
NGC1705      +04:53.1  -53:27.0   6000.0   0.048  1.0
NGC5023      +13:10.0  +44:18.0   6000.0   0.128  1.0
NGC5474      +14:03.3  +53:54.0   6000.0   0.167  1.0
