Start GPS	Stop GPS	duration(sec)

714151642	714153300	1658
714157104	714157819	715
714157847	714159451	1604
714159502	714163057	3555
714169686	714172178	2492
714172241	714174100	1859
714178100	714179512	1412
714182631	714183712	1081
714184576	714193277	8701
714263597	714266284	2687
714266354	714280997	14643
714282398	714300241	17843
714357172	714357805	633
714357832	714370831	12999
714371311	714372949	1638
714373079	714377536	4457
714377635	714378076	441
714378786	714388357	9571
714390215	714397028	6813
714397342	714400068	2726
714416755	714421142	4387
714445574	714467863	22289
714469140	714479624	10484
714479834	714482855	3021
714488808	714493764	4956
714494062	714501896	7834
714501998	714503801	1803
714550987	714560783	9796
714561382	714562992	1610
714564040	714574114	10074
714574457	714581181	6724
714581364	714583176	1812
714583412	714592936	9524
714593772	714595596	1824
714616028	714635529	19501
714636027	714646182	10155
714647877	714648557	680
714651341	714653843	2502
714656547	714658490	1943
714659276	714664789	5513
714665164	714668507	3343
714668667	714676206	7539
714704726	714708254	3528
714709772	714716890	7118
714717985	714718412	427
714719119	714738277	19158
714738715	714747423	8708
714750480	714760022	9542
714791740	714832830	41090
714834150	714842782	8632
714844544	714850145	5601
714880235	714886301	6066
714887014	714904060	17046
714904372	714913527	9155
714916226	714917583	1357
714920955	714932648	11693
714932687	714936310	3623
714936789	714958971	22182
714968297	714985849	17552
714986137	714988753	2616
714990445	714997162	6717
714998412	715008623	10211
715034967	715036979	2012
715040083	715056964	16881
715057469	715062114	4645
715065479	715078241	12762
715078728	715079404	676
715079859	715081248	1389
715084133	715091212	7079
715091622	715099484	7862
715100072	715100941	869
715109465	715115877	6412
715116508	715125178	8670
715129502	715145366	15864
715146219	715157304	11085
715157998	715172239	14241
715172875	715180952	8077
715181829	715191626	9797
715192712	715200087	7375
715200818	715204965	4147
715206877	715207473	596
715208309	715225061	16752
715230078	715260958	30880
715263658	715265931	2273
715266295	715281962	15667
715285396	715287037	1641
715290454	715296693	6239
715302834	715304887	2053
715308654	715313610	4956
715313615	715315841	2226
715335327	715353350	18023
715355465	715355894	429
715355896	715359623	3727
715359627	715361186	1559
715361790	715366869	5079
715370558	715377861	7303
715382991	715396626	13635
715396776	715402450	5674
715407096	715414028	6932
715414330	715422208	7878
715422667	715428704	6037
715428725	715430111	1386
715431826	715443407	11581
715444780	715448067	3287
715448669	715449996	1327
715450340	715459175	8835
715460923	715462125	1202
715464155	715465443	1288
715466899	715470793	3894
715472794	715474296	1502
715482684	715488212	5528
715488727	715505800	17073
715509203	715516365	7162
715519746	715528933	9187
715540561	715541684	1123
715543231	715547052	3821
715576479	715585855	9376
715609676	715611792	2116
