StartGPS  StopGPS   duration(sec)

729273613 729274548 935
729275341 729276516 1175
729276619 729286684 10065
729287259 729287343 84
729288268 729288959 691
729290379 729291212 833
729292383 729292553 170
729306904 729308355 1451
729326651 729335128 8477
729336690 729359653 22963
729360949 729374308 13359
729374778 729376683 1905
729378502 729381248 2746
729382587 729385005 2418
729387034 729388169 1135
729388450 729395263 6813
729396245 729397409 1164
729397431 729404175 6744
729404717 729438780 34063
729439471 729456694 17223
729458933 729461156 2223
729472797 729473244 447
729493233 729493361 128
729500780 729503751 2971
729509424 729512548 3124
729521980 729524375 2395
729528494 729559360 30866
729574308 729579432 5124
729581812 729614792 32980
729617629 729620033 2404
729628385 729633928 5543
729646231 729661151 14920
729669733 729698139 28406
729704409 729711242 6833
729711311 729713436 2125
729715408 729725423 10015
729727213 729732158 4945
729732902 729737365 4463
729739201 729803737 64536
729839532 729842686 3154
729843477 729844382 905
729845214 729851347 6133
729867453 729867664 211
729880685 729887462 6777
729887919 729893130 5211
729914912 729939448 24536
729940127 729951749 11622
729955213 729968655 13442
729970631 729973258 2627
729973425 729993140 19715
729996989 729997478 489
729998892 730022077 23185
730026408 730053154 26746
730053313 730110376 57063
730119903 730122977 3074
730123040 730139672 16632
730141007 730153698 12691
730156898 730160621 3723
730231106 730237903 6797
730259624 730314680 55056
730332638 730349947 17309
730351210 730353632 2422
730353965 730361616 7651
730361944 730375399 13455
730378281 730380007 1726
730383696 730395658 11962
730399019 730406462 7443
730411996 730419649 7653
730425165 730438212 13047
730438714 730472893 34179
730473905 730481834 7929
730486813 730488599 1786
730490914 730499733 8819
730503114 730504872 1758
730508769 730529624 20855
730534486 730535609 1123
730536405 730541047 4642
730546468 730565919 19451
730567105 730591180 24075
730592193 730635431 43238
730637895 730659901 22006
730660561 730664014 3453
730665378 730665967 589
730666037 730668242 2205
730668263 730670981 2718
730674485 730681168 6683
730691952 730741145 49193
730761601 730763246 1645
730790378 730793005 2627
730793037 730847749 54712
730856701 730859557 2856
730862476 730870765 8289
730871085 730872508 1423
730872928 730892387 19459
730892713 730931930 39217
730980062 731016696 36634
731050839 731058861 8022
731061496 731088868 27372
731088911 731089747 836
731094064 731105915 11851
731121643 731360015 238372
731425875 731442641 16766
731569409 731618076 48667
731626007 731627404 1397
731659359 731682385 23026
731685334 731707783 22449
731708701 731713737 5036
731716114 731725438 9324
731731062 731769161 38099
731774216 731782943 8727
731784477 731792861 8384
731806213 731830412 24199
731832659 731847270 14611
731849729 731874152 24423
731878345 731878880 535
731878885 731894505 15620
731896433 731902791 6358
731903124 731903627 503
731904324 731928636 24312
731931248 731948270 17022
731948736 731954129 5393
731966230 731970061 3831
731971509 731972336 827
731972726 731976443 3717
731979254 731980965 1711
731981184 731985535 4351
731988169 731990066 1897
731992439 732013861 21422
732016543 732032052 15509
732033666 732046156 12490
732049012 732089362 40350
732090392 732110633 20241
732113572 732148702 35130
732153315 732233754 80439
732239472 732294714 55242
732295424 732407844 112420
732411671 732446373 34702
732449953 732455891 5938
732459149 732479467 20318
732484788 732497615 12827
732500730 732500799 69
732507299 732542324 35025
732545430 732555870 10440
732559000 732564261 5261
732564912 732570286 5374
732583235 732585280 2045
732585727 732593535 7808
732601807 732605743 3936
732607216 732617069 9853
732621846 732622063 217
732626709 732644712 18003
732650745 732658757 8012
732662130 732672113 9983
732675144 732680179 5035
732682179 732686989 4810
732692310 732720124 27814
732731577 732733721 2144
732755808 732757242 1434
732762624 732836116 73492
732847550 732851958 4408
732901651 732906141 4490
732906545 732908657 2112
732921085 732922671 1586
732925313 732925996 683
732930121 732938512 8391
732938655 732974469 35814
732976953 733008147 31194
733022358 733070444 48086
733072025 733099941 27916
733099996 733108853 8857
733114211 733143487 29276
733144269 733167847 23578
733169635 733180918 11283
733192773 733196000 3227
733196356 733230766 34410
733232778 733255559 22781
733267551 733301644 34093
733305432 733327512 22080
733328627 733336221 7594
733350864 733378226 27362
733381501 733398970 17469
733401472 733435246 33774
733447322 733484977 37655
733486556 733511182 24626
733512496 733530370 17874
733535204 733578665 43461
733581578 733617617 36039
733621797 733685831 64034
733691490 733703572 12082
733703583 733710354 6771
733714097 733715792 1695
733715800 733761570 45770
733782005 733783461 1456
733790724 733792647 1923
733793010 733794286 1276
733794420 733800854 6434
733802855 733855659 52804
733859357 733874917 15560
733877911 733881615 3704
733884735 733919019 34284
733927963 733930751 2788
733934918 733943252 8334
733956745 733972767 16022
734007862 734012564 4702
734074443 734075844 1401
734078543 734170202 91659
734178466 734181783 3317
734182324 734224592 42268
734227620 734252268 24648
734256946 734325063 68117
734327737 734348234 20497
734350137 734351098 961
734352709 734367613 14904
