Start GPS	Stop GPS	duration(sec)

729304208	729305791	1583
729308372	729313554	5182
729331023	729335369	4346
729336255	729342311	6056
729343081	729346384	3303
729350926	729357581	6655
729364070	729369532	5462
729372303	729374047	1744
729374657	729375306	649
729387355	729394843	7488
729396788	729400124	3336
729410748	729419742	8994
729422903	729427038	4135
729430190	729434706	4516
729438962	729445228	6266
729446195	729456585	10390
729457976	729465113	7137
729467403	729469289	1886
729475253	729476588	1335
729479646	729480988	1342
729481676	729482334	658
729482587	729486129	3542
729486889	729491876	4987
729506937	729510004	3067
729519088	729521630	2542
729529892	729531462	1570
729536474	729537337	863
729537799	729540143	2344
729540708	729543545	2837
729544405	729547838	3433
729548823	729550696	1873
729552163	729552826	663
729553400	729556833	3433
729558610	729560306	1696
729562974	729567825	4851
729569834	729570609	775
729573555	729576754	3199
729577371	729577989	618
729582716	729583715	999
729587722	729588376	654
729588773	729596614	7841
729597517	729599525	2008
729602121	729610156	8035
729614511	729621147	6636
729638074	729639090	1016
729640015	729641642	1627
729642643	729645003	2360
729649326	729654825	5499
729668374	729668998	624
729669036	729680280	11244
729680783	729685450	4667
729688817	729695346	6529
729696750	729698259	1509
729700709	729704095	3386
729704714	729706321	1607
729708797	729711979	3182
729733392	729737844	4452
729754078	729756817	2739
729758435	729777196	18761
729788100	729791477	3377
729796337	729803644	7307
729804168	729806319	2151
729808320	729809171	851
729811313	729819307	7994
729822026	729827294	5268
729828236	729833619	5383
729838103	729846616	8513
729848007	729862085	14078
729878269	729878968	699
729919431	729920675	1244
729924628	729929099	4471
730015276	730025279	10003
730026022	730032255	6233
730034006	730051801	17795
730054390	730056464	2074
730084385	730086504	2119
730094187	730117605	23418
730118529	730125960	7431
730132964	730134194	1230
730137116	730137872	756
730175818	730177844	2026
730179579	730183858	4279
730187666	730192794	5128
730195423	730197778	2355
730200090	730202972	2882
730203699	730205830	2131
730207554	730213298	5744
730250794	730252335	1541
730252553	730254194	1641
730263427	730265055	1628
730268073	730277393	9320
730278550	730286013	7463
730287497	730291855	4358
730292202	730294478	2276
730305382	730306723	1341
730348388	730348995	607
730373919	730374644	725
730407514	730411300	3786
730418958	730419566	608
730421319	730422193	874
730427302	730429591	2289
730429609	730431334	1725
730431347	730431995	648
730432004	730434230	2226
730437953	730443467	5514
730458454	730472962	14508
730495197	730498869	3672
730508761	730513740	4979
730517114	730518833	1719
730520747	730538902	18155
730541138	730548340	7202
730550089	730559434	9345
730562769	730563989	1220
730566539	730571749	5210
730574789	730578669	3880
730580155	730584460	4305
730587029	730602341	15312
730603408	730609518	6110
730610536	730631793	21257
730637645	730643557	5912
730644254	730654453	10199
730665045	730669961	4916
730671506	730672705	1199
730677950	730695910	17960
730696303	730697742	1439
730699764	730721149	21385
730722548	730726499	3951
730731746	730735301	3555
730764891	730769846	4955
730788720	730805156	16436
730809119	730811968	2849
730826160	730827355	1195
730829717	730831759	2042
730833014	730833778	764
730851179	730856096	4917
730857047	730857719	672
730862070	730867993	5923
730872167	730879401	7234
730880598	730886849	6251
730889112	730897166	8054
730898197	730902970	4773
730903124	730904048	924
730908204	730908996	792
730909662	730911812	2150
730924234	730925074	840
730936050	730937696	1646
730946576	730950878	4302
730955038	730956453	1415
730962077	730967037	4960
730969802	730983717	13915
730989071	730990330	1259
730991436	730994027	2591
730999030	731000309	1279
731005687	731006294	607
731006383	731013122	6739
731137625	731138280	655
731138950	731142978	4028
731144711	731145875	1164
731160361	731166779	6418
731171278	731177023	5745
731179537	731187989	8452
731193582	731194382	800
731195734	731196532	798
731197322	731203910	6588
731205154	731210458	5304
731212155	731214168	2013
731215329	731216217	888
731217544	731220325	2781
731222024	731227039	5015
731228077	731232197	4120
731233066	731234645	1579
731238064	731240090	2026
731241208	731244853	3645
731246178	731248488	2310
731249955	731253780	3825
731258719	731260498	1779
731262125	731263191	1066
731266203	731267057	854
731268111	731272053	3942
731272930	731277315	4385
731286121	731290470	4349
731300370	731304693	4323
731305845	731309792	3947
731311959	731319227	7268
731321486	731325267	3781
731326073	731327193	1120
731340039	731343750	3711
731346250	731348425	2175
731387422	731394654	7232
731404839	731405586	747
731406452	731407249	797
731408473	731410168	1695
731411776	731412460	684
731412545	731418504	5959
731430902	731431840	938
731432571	731433900	1329
731489118	731491737	2619
731494044	731495418	1374
731495512	731496429	917
731499489	731500241	752
731516100	731516822	722
731520168	731521341	1173
731528828	731529674	846
731576457	731577530	1073
731578758	731582221	3463
731583439	731586618	3179
731590313	731591491	1178
731596104	731599746	3642
731603412	731605626	2214
731605891	731607847	1956
731613662	731614899	1237
731647962	731650852	2890
731651277	731656379	5102
731658153	731659014	861
731661655	731662600	945
731664430	731666008	1578
731667392	731671466	4074
731675064	731679593	4529
731689265	731691002	1737
731693121	731695172	2051
731697202	731706414	9212
731714518	731715583	1065
731716478	731724316	7838
731726017	731734225	8208
731738587	731742446	3859
731743991	731745805	1814
731749990	731750749	759
731755467	731757211	1744
731758315	731759818	1503
731762150	731763886	1736
731767303	731772384	5081
731773497	731776734	3237
731794454	731797477	3023
731822687	731830317	7630
731832522	731834994	2472
