START-GPS   STOP-GPS   LENGTH
793154935 793180817 25882
793180819 793212314 31495
793212464 793224903 12439
793227614 793236503 8889
793239210 793239588 378
793246615 793250143 3528
793250186 793252955 2769
793252957 793253698 741
793253709 793257009 3300
793257070 793260565 3495
793260598 793274440 13842
793274442 793278699 4257
793278701 793289453 10752
793289455 793295341 5886
793295343 793304622 9279
793304624 793315156 10532
793315157 793315161 4
793329735 793333658 3923
793343075 793343109 34
793345774 793346561 787
793350190 793350674 484
793353187 793374209 21022
793374246 793381619 7373
793381621 793397024 15403
793402947 793408921 5974
793410032 793420934 10902
793420936 793423160 2224
793423162 793436518 13356
793436520 793457347 20827
793472568 793475430 2862
793475432 793476849 1417
793481587 793484218 2631
793488344 793491150 2806
793497113 793497227 114
793499570 793520155 20585
793520157 793521167 1010
793521169 793522085 916
793529807 793530530 723
793530532 793538383 7851
793538385 793539396 1011
793539398 793552645 13247
793555921 793566767 10846
793566769 793570205 3436
793573066 793575067 2001
793575069 793630361 55292
793637582 793642906 5324
793642908 793650733 7825
793650735 793660448 9713
793660450 793663485 3035
793663487 793672479 8992
793674580 793703852 29272
793703854 793708785 4931
793708787 793712601 3814
793717127 793726597 9470
793726599 793729109 2510
793764485 793783670 19185
793783672 793796237 12565
793802673 793823480 20807
793823568 793832726 9158
793839576 793840044 468
793841043 793842837 1794
793843889 793845928 2039
793845948 793847429 1481
793849818 793855199 5381
793856139 793867545 11406
793867547 793869977 2430
793869979 793888443 18464
793890758 793897217 6459
793897824 793907658 9834
793907693 793908310 617
793908312 793911523 3211
793911525 793915573 4048
793927065 793928866 1801
793931292 793946032 14740
793946034 793966252 20218
793966254 793970426 4172
793970428 793974972 4544
793974974 794001890 26916
794004235 794010679 6444
794010681 794022351 11670
794024535 794026160 1625
794026162 794038024 11862
794038026 794039694 1668
794039696 794042972 3276
794046530 794047146 616
794047148 794048565 1417
794048567 794058098 9531
794058100 794058250 150
794059712 794063212 3500
794063214 794063619 405
794063620 794063621 1
794068099 794074558 6459
794076101 794080564 4463
794082719 794085619 2900
794088370 794093340 4970
794093342 794099838 6496
794101270 794108983 7713
794108985 794120127 11142
794120129 794121010 881
794130957 794149410 18453
794152489 794172043 19554
794172045 794174864 2819
794181963 794182008 45
794182009 794183389 1380
794183391 794186426 3035
794186428 794195129 8701
794195131 794197760 2629
794197762 794198184 422
794201406 794202811 1405
794206067 794215572 9505
794215573 794216068 495
794216070 794224618 8548
794224620 794250454 25834
794250456 794255212 4756
794258842 794259204 362
794259227 794262382 3155
794263546 794271708 8162
794274816 794275157 341
794275532 794276605 1073
794276677 794282082 5405
794284239 794336842 52603
794342791 794368998 26207
794369000 794372041 3041
794372043 794384601 12558
794384603 794396163 11560
794396165 794409872 13707
794409874 794418017 8143
794418728 794423984 5256
794424007 794424228 221
794442284 794442526 242
794444742 794446642 1900
794448010 794450244 2234
794451859 794452338 479
794452340 794476670 24330
794476672 794489248 12576
794489250 794520266 31016
794524109 794534154 10045
794536130 794540163 4033
794540165 794546536 6371
794546538 794548059 1521
794548061 794561520 13459
794561522 794587187 25665
794593257 794614585 21328
794614587 794620891 6304
794622484 794658314 35830
794658316 794665815 7499
794665817 794678027 12210
794678029 794690165 12136
794690167 794691992 1825
794691994 794693140 1146
794695750 794700713 4963
794700715 794709229 8514
794709231 794720357 11126
794723770 794743518 19748
794743520 794760389 16869
794760391 794777026 16635
794781638 794803429 21791
794803431 794818051 14620
794818053 794837652 19599
794838358 794866498 28140
794866500 794869892 3392
794869894 794870631 737
794870632 794875383 4751
794879701 794881430 1729
794884611 794893401 8790
794893403 794901714 8311
794901716 794904756 3040
794904758 794908204 3446
794908206 794912261 4055
794912263 794918755 6492
794918757 794922002 3245
794922004 794924294 2290
794924296 794925755 1459
794925757 794933776 8019
794933778 794946753 12975
794947123 794952693 5570
794956960 794965586 8626
794965588 794968463 2875
794968465 795007073 38608
795009324 795022808 13484
795022810 795024957 2147
795024959 795031541 6582
795035518 795038929 3411
795094553 795102396 7843
795104487 795104534 47
795104536 795119367 14831
795119369 795131526 12157
795133171 795133570 399
795133572 795137713 4141
795138963 795146825 7862
795146827 795151205 4378
795151207 795155637 4430
795156829 795163173 6344
795163175 795165960 2785
795169179 795211703 42524
795219034 795219158 124
795219160 795222033 2873
795222034 795224068 2034
795226666 795226853 187
795226855 795236521 9666
795236523 795243663 7140
795243665 795276674 33009
795276676 795277523 847
795277525 795278132 607
795278134 795280551 2417
795283088 795287852 4764
795298772 795307748 8976
795307750 795310243 2493
795313539 795318683 5144
795318685 795319565 880
795325924 795333247 7323
795333249 795336015 2766
795336017 795339542 3525
795339544 795343964 4420
795343966 795353324 9358
795354939 795365498 10559
795365500 795369568 4068
795369570 795386078 16508
795396170 795398711 2541
795398826 795403724 4898
795408344 795412076 3732
795412078 795416713 4635
795423059 795426278 3219
795431821 795441279 9458
795441281 795443755 2474
795450543 795458555 8012
795458557 795459211 654
795459212 795472136 12924
795474768 795475004 236
795475006 795475683 677
795476787 795476804 17
795476812 795477235 423
795477237 795478119 882
795478121 795491218 13097
795491220 795520237 29017
795520239 795520345 106
795524072 795534381 10309
795535820 795537149 1329
795537151 795540359 3208
795540361 795544625 4264
795544627 795546773 2146
795548057 795555981 7924
795559975 795561329 1354
795561331 795566473 5142
795569397 795579745 10348
795579747 795586194 6447
795586196 795590048 3852
795590050 795639976 49926
795639978 795652073 12095
795652098 795652398 300
795655204 795661509 6305
795664011 795677275 13264
795677277 795679213 1936
