"Name","Type","RA_J2000_TXT","DEC_J2000_TXT","R_Sun_kly","R_gc_kly","RA","DEC","Dim"
"FSR 1767","GlobularCluster","05:35:43.00","-36:21:28",4.9,18.6,4.6064,-0.6346,0.0000000
"M 4, NGC 6121","GlobularCluster","16:23:35.50","-26:31:31",7.2,19.2,4.2917,-0.4630,0.0104720
"NGC 6397","GlobularCluster","17:40:41.30","-53:40:25",7.5,19.6,4.6281,-0.9368,0.0090180
"NGC 6544","GlobularCluster","18:07:20.60","-24:59:51",8.8,17.3,4.7444,-0.4363,0.0026760
"M 22, NGC 6656","GlobularCluster","18:36:24.20","-23:54:12",10.4,16.0,4.8712,-0.4172,0.0093080
"NGC 6366","GlobularCluster","17:27:44.30","-05:04:36",11.7,16.3,4.5716,-0.0886,0.0037820
"2MASS-GC01, Hurt 1","GlobularCluster","18:08:21.80","-19:49:47",11.7,14.7,4.7489,-0.3461,0.0009600
"NGC 6540, Djorg 3","GlobularCluster","18:06:08.60","-27:45:55",12.1,14.4,4.7392,-0.4846,0.0004360
"2MASS-GC02, Hurt 2","GlobularCluster","18:09:36.50","-20:46:44",13.0,13.4,4.7543,-0.3627,0.0005530
"NGC 6752","GlobularCluster","19:10:51.80","-59:58:55",13.0,17.0,5.0216,-1.0469,0.0084360
"M 71, NGC 6838","GlobularCluster","19:53:46.10","18:46:42",13.0,21.9,5.2088,0.3277,0.0020940
"E 3","GlobularCluster","09:20:59.30","-77:16:57",14.0,24.8,2.4478,-1.3488,0.0001210
"M 10, NGC 6254","GlobularCluster","16:57:08.90","-04:05:58",14.4,15.0,4.4381,-0.0716,0.0058180
"NGC 104, 47 Tuc","GlobularCluster","00:24:05.20","-72:04:51",14.7,24.1,0.1051,-1.2581,0.0145440
"Terzan 12","GlobularCluster","18:12:15.80","-22:44:31",15.7,11.1,4.7659,-0.3969,0.0002910
"M 12, NGC 6218","GlobularCluster","16:47:14.50","-01:56:52",16.0,14.7,4.3949,-0.0340,0.0046540
"NGC 3201","GlobularCluster","10:17:36.80","-46:24:40",16.3,29.0,2.6948,-0.8100,0.0058180
"NGC 5139, Omega Cen","GlobularCluster","13:26:45.90","-47:28:37",17.3,20.9,3.5202,-0.8286,0.0159990
"M 55, NGC 6809","GlobularCluster","19:39:59.40","-30:57:44",17.3,12.7,5.1487,-0.5404,0.0055270
"IC 1276, Palomar 7","GlobularCluster","18:10:44.20","-07:12:27",17.6,12.1,4.7592,-0.1258,0.0023270
"Terzan 1, HP 2","GlobularCluster","17:35:47.80","-30:28:11",18.3,8.2,4.6068,-0.5318,0.0006980
"M 28, NGC 6626","GlobularCluster","18:24:32.90","-24:52:12",18.3,8.8,4.8195,-0.4341,0.0032580
"Terzan 10","GlobularCluster","18:02:57.40","-26:04:00",18.6,7.8,4.7253,-0.4550,0.0004360
"NGC 6352","GlobularCluster","17:25:29.20","-48:25:22",18.6,10.8,4.5618,-0.8451,0.0026180
"NGC 4372","GlobularCluster","12:25:45.40","-72:39:33",18.9,23.2,3.2540,-1.2681,0.0014540
"Palomar 6","GlobularCluster","17:43:42.20","-26:13:21",19.2,7.2,4.6413,-0.4577,0.0003490
"Palomar 10","GlobularCluster","19:18:02.10","18:34:18",19.2,20.9,5.0529,0.3241,0.0011640
"NGC 6304","GlobularCluster","17:14:32.50","-29:27:44",19.6,7.2,4.5140,-0.5142,0.0023270
"NGC 6553","GlobularCluster","18:09:15.60","-25:54:28",19.6,7.2,4.7528,-0.4522,0.0026760
"M 107, NGC 6171","GlobularCluster","16:32:31.90","-13:03:13",20.9,10.8,4.3307,-0.2278,0.0037820
"Terzan 9","GlobularCluster","18:01:38.80","-26:50:23",21.2,5.2,4.7196,-0.4684,0.0000580
"NGC 4833","GlobularCluster","12:59:35.00","-70:52:29",21.2,22.8,3.4016,-1.2370,0.0040720
"Djorg 2, E456-SC38","GlobularCluster","18:01:49.10","-27:49:33",21.9,4.6,4.7203,-0.4857,0.0028800
"NGC 6535","GlobularCluster","18:03:50.70","-00:17:49",22.2,12.7,4.7292,-0.0052,0.0009890
"M 62, NGC 6266","GlobularCluster","17:01:12.60","-30:06:44",22.5,5.5,4.4559,-0.5256,0.0043630
"NGC 6712","GlobularCluster","18:53:04.30","-08:42:22",22.5,11.4,4.9440,-0.1520,0.0028510
"NGC 6541","GlobularCluster","18:08:02.20","-43:42:20",22.8,7.2,4.7475,-0.7628,0.0043630
"NGC 6717, Palomar 9","GlobularCluster","18:55:06.20","-22:42:03",23.1,7.8,4.9528,-0.3962,0.0015710
"Lynga 7","GlobularCluster","16:11:03.00","-55:18:52",23.5,13.7,4.2370,-0.9654,0.0007270
"NGC 6760","GlobularCluster","19:11:12.10","01:01:50",24.1,15.7,5.0231,0.0180,0.0027930
"NGC 6558","GlobularCluster","18:10:18.40","-31:45:49",24.1,3.3,4.7574,-0.5544,0.0012220
"M 5, NGC 5904","GlobularCluster","15:18:33.80","02:04:58",24.5,20.2,4.0080,0.0364,0.0066900
"Terzan 3","GlobularCluster","16:28:40.10","-35:21:13",24.5,7.8,4.3139,-0.6170,0.0008730
"NGC 6362","GlobularCluster","17:31:54.80","-67:02:53",24.8,16.6,4.5898,-1.1702,0.0043630
"NGC 5927","GlobularCluster","15:28:00.50","-50:40:22",24.8,14.7,4.0492,-0.8844,0.0017450
