Start GPS	Stop GPS	duration(sec)

714179393	714187750	8357
714188658	714192005	3347
714192730	714193314	584
714193938	714195263	1325
714207263	714208867	1604
714211194	714212083	889
714215476	714218723	3247
714219236	714225406	6170
714226434	714230304	3870
714232692	714237164	4472
714244366	714245897	1531
714246841	714250468	3627
714256623	714274679	18056
714275221	714285051	9830
714286652	714289919	3267
714290079	714297963	7884
714298377	714300184	1807
714306152	714310177	4025
714311211	714319144	7933
714321763	714325909	4146
714326294	714327654	1360
714328776	714329836	1060
714330776	714331120	344
714331276	714332040	764
714334071	714340429	6358
714345572	714353262	7690
714355756	714362596	6840
714362634	714376302	13668
714378032	714379015	983
714382916	714391606	8690
714393094	714394824	1730
714441127	714441603	476
714442178	714442516	338
714443043	714443408	365
714443434	714443897	463
714444489	714444933	444
714446973	714449202	2229
714449851	714451667	1816
714456000	714464277	8277
714466667	714467177	510
714470947	714479555	8608
714480883	714482666	1783
714525339	714528413	3074
714528493	714537106	8613
714538413	714544251	5838
714544666	714551387	6721
714551840	714553443	1603
714555195	714558278	3083
714559456	714562801	3345
714566102	714568861	2759
714609074	714614759	5685
714616437	714640434	23997
714641394	714643154	1760
714648991	714654215	5224
714655031	714655782	751
714698133	714699112	979
714702645	714705076	2431
714709322	714719141	9819
714720615	714724435	3820
714725029	714727095	2066
714741350	714742650	1300
714784782	714785685	903
714787127	714814599	27472
714821114	714827968	6854
714829599	714835288	5689
714836136	714839132	2996
714843437	714851172	7735
714863311	714870517	7206
714870794	714885458	14664
714895157	714901722	6565
714904857	714913881	9024
714914348	714916227	1879
714934241	714944755	10514
714945950	714947379	1429
714954068	714954560	492
714954703	714956697	1994
714956883	714957527	644
714957889	714959107	1218
714960246	714972003	11757
714972968	714984863	11895
714994230	714995586	1356
714995611	715002501	6890
715006003	715007573	1570
715007654	715008184	530
715009095	715009817	722
715012493	715013600	1107
715016891	715017675	784
715018546	715020672	2126
715037875	715040770	2895
715042854	715049750	6896
715050018	715056682	6664
715057043	715059944	2901
715060994	715068081	7087
715068363	715071751	3388
715072231	715076987	4756
715078945	715085707	6762
715087221	715087870	649
715129015	715131001	1986
715131968	715136058	4090
715137729	715143694	5965
715143761	715147329	3568
715147401	715150628	3227
715150901	715155666	4765
715158189	715169292	11103
715170362	715171172	810
715171505	715172000	495
715214671	715224062	9391
715225450	715230938	5488
715231053	715239557	8504
715239653	715243907	4254
715246903	715252724	5821
715253857	715260539	6682
715308140	715311758	3618
715320749	715324011	3262
715329739	715331455	1716
715336570	715338080	1510
715339728	715343230	3502
715344555	715345509	954
715384241	715384811	570
715394660	715395019	359
715406173	715406478	305
715408880	715413700	4820
715415136	715415481	345
715416922	715418104	1182
715422021	715427503	5482
715428525	715432632	4107
715435264	715436829	1565
715439989	715443021	3032
715444237	715446278	2041
715447010	715447667	657
715472932	715473775	843
715475497	715478498	3001
715482436	715483544	1108
715485964	715490954	4990
715491574	715497528	5954
715498597	715505575	6978
715508997	715513575	4578
715514277	715515939	1662
715519422	715524275	4853
715525219	715527400	2181
715564704	715566855	2151
715571160	715571579	419
715572524	715573716	1192
715574673	715580548	5875
