H1 science mode segment list
START-GPS   STOP-GPS   LENGTH
729273613 729274500 887
729276619 729280260 3641
729280320 729286684 6364
729287259 729287343 84
729288268 729288900 632
729290379 729291180 801
729292383 729292500 117
729306904 729308340 1436
729326651 729333180 6529
729333960 729335100 1140
729336690 729359653 22963
729360949 729368340 7391
729368400 729374308 5908
729374778 729375420 642
729375540 729376200 660
729376260 729376683 423
729378502 729381248 2746
729382587 729383040 453
729383220 729385005 1785
729387034 729388169 1135
729388450 729395263 6813
729396245 729397409 1164
729397431 729404175 6744
729404717 729429840 25123
729429960 729438780 8820
729439471 729456694 17223
729458933 729461100 2167
729472797 729473244 447
729493233 729493320 87
729500780 729503460 2680
729503520 729503671 151
729503673 729503700 27
729509424 729512520 3096
729521980 729524340 2360
729528494 729538560 10066
729538740 729559320 20580
729574308 729579432 5124
729581812 729583080 1268
729583140 729599400 16260
729599580 729606300 6720
729606480 729614760 8280
729617629 729619260 1631
729619320 729619980 660
729628385 729633900 5515
729646231 729651300 5069
729651420 729651840 420
729651900 729661140 9240
729669733 729698100 28367
729704409 729711242 6833
729711311 729713280 1969
729713340 729713436 96
729715408 729716700 1292
729717000 729718140 1140
729718920 729719280 360
729719400 729725400 6000
729727213 729729840 2627
729732060 729732158 98
729732902 729737340 4438
729739201 729785760 46559
729785820 729792420 6600
729792480 729803700 11220
729839532 729841560 2028
729844377 729844382 5
729845214 729851340 6126
729867453 729867660 207
729881640 729883800 2160
729883920 729884640 720
729884700 729887462 2762
729887919 729893100 5181
729914912 729939448 24536
729940127 729941400 1273
729941940 729951704 9764
729955213 729964784 9571
729964800 729968640 3840
729970631 729973258 2627
729973425 729979200 5775
729979320 729986940 7620
729987300 729991680 4380
729991740 729992760 1020
729992820 729993120 300
729996989 729997440 451
729998892 729999840 948
729999900 730022040 22140
730026408 730053154 26746
730053313 730074840 21527
730075020 730077000 1980
730077120 730110376 33256
730121223 730122977 1754
730123040 730123920 880
730123980 730124580 600
730124640 730135920 11280
730136160 730138080 1920
730138140 730139040 900
730139100 730139672 572
730141007 730143720 2713
730143840 730148460 4620
730148520 730152720 4200
730153680 730153698 18
730156898 730157520 622
730159440 730160580 1140
730259624 730314660 55036
730334640 730349947 15307
730351210 730353600 2390
730353968 730356960 2992
730357020 730361588 4568
730361952 730362000 48
730362180 730365660 3480
730365780 730368660 2880
730369020 730369620 600
730369980 730375348 5368
730378281 730380000 1719
730383696 730393800 10104
730393860 730394160 300
730394220 730395608 1388
730399019 730401360 2341
730401420 730405800 4380
730405860 730406462 602
730411996 730415400 3404
730415460 730415760 300
730415820 730419600 3780
730425600 730426260 660
730426320 730432380 6060
730432440 730438212 5772
730438714 730472893 34179
730473905 730476780 2875
730476840 730481820 4980
730486813 730487760 947
730490914 730491060 146
730491240 730499700 8460
730503114 730503960 846
730508769 730509540 771
730509660 730510860 1200
730510920 730522620 11700
730522740 730529580 6840
730534486 730534920 434
730535280 730535609 329
730536405 730540560 4155
730546468 730556220 9752
730556460 730562580 6120
730562940 730565919 2979
730567105 730569780 2675
730570860 730576980 6120
730577280 730585620 8340
730585740 730586520 780
730586820 730588440 1620
730588740 730590720 1980
730592193 730633440 41247
730637895 730659901 22006
730660561 730661640 1079
730661700 730664014 2314
730665884 730665967 83
730666037 730668242 2205
730668263 730670981 2718
730674485 730677600 3115
730677660 730681124 3464
730692420 730741124 48704
730761601 730761840 239
730761900 730763220 1320
730790378 730793005 2627
730793037 730793040 3
730793100 730808460 15360
730808520 730823520 15000
730823580 730824000 420
