L1 science mode segment list
START-GPS   STOP-GPS   LENGTH
729332100 729335340 3240
729336256 729342310 6054
729343082 729346380 3298
729350927 729357540 6613
729363874 729364061 187
729364071 729369480 5409
729374658 729375131 473
729375133 729375300 167
729378163 729378240 77
729386466 729386580 114
729387357 729394094 6737
729394096 729394800 704
729398280 729400080 1800
729409951 729410369 418
729410749 729415601 4852
729415636 729419700 4064
729430191 729434700 4509
729438963 729445200 6237
729446196 729456540 10344
729457978 729465060 7082
729467404 729469260 1856
729475254 729476580 1326
729479647 729480960 1313
729481677 729482334 657
729482588 729486120 3532
729486890 729491820 4930
729506939 729510000 3061
729512593 729512640 47
729519089 729521580 2491
729527957 729528360 403
729529893 729529920 27
729529980 729531420 1440
729536475 729536760 285
729541260 729543540 2280
729544406 729547800 3394
729548824 729550696 1872
729552165 729552600 435
729552660 729552825 165
729553401 729556285 2884
729556287 729556800 513
729558611 729560280 1669
729562975 729567780 4805
729569834 729570609 775
729572146 729572436 290
729572891 729573115 224
729573557 729576720 3163
729577372 729577989 617
729578407 729578909 502
729582717 729583715 998
729588360 729588376 16
729588382 729588730 348
729588774 729596580 7806
729597518 729599520 2002
729602122 729610156 8034
729614512 729621120 6608
729638074 729639060 986
729640016 729641640 1624
729642644 729645003 2359
729649326 729654825 5499
729667507 729667611 104
729668376 729668998 622
729669060 729680160 11100
729680784 729685440 4656
729688819 729695340 6521
729696751 729698220 1469
729700710 729702900 2190
729705060 729706320 1260
729708799 729711960 3161
729733393 729737400 4007
729737460 729737844 384
729754079 729756780 2701
729758436 729777196 18760
729788102 729791406 3304
729791408 729791460 52
729793557 729793796 239
729793798 729793800 2
729796338 729803640 7302
729804169 729804240 71
729804300 729806280 1980
729808321 729809160 839
729811314 729819300 7986
729822027 729827280 5253
729828237 729833580 5343
729838104 729846600 8496
729848009 729862080 14071
729878271 729878940 669
729891966 729892380 414
729908410 729908642 232
729909165 729909733 568
729909895 729910260 365
729919432 729920640 1208
729924628 729924923 295
729924925 729929040 4115
730008903 730009080 177
730015277 730025220 9943
730026023 730032240 6217
730034007 730051800 17793
730054391 730056420 2029
730084388 730086480 2092
730090215 730090583 368
730094188 730099980 5792
730099982 730115029 15047
730115031 730117605 2574
730118383 730118525 142
730118531 730125271 6740
730125273 730125900 627
730127456 730127520 64
730132965 730133400 435
730133460 730134180 720
730137117 730137206 89
730137208 730137405 197
730137407 730137751 344
730137753 730137840 87
730175819 730177844 2025
730178841 730178940 99
730179581 730182794 3213
730182796 730182954 158
730182956 730183800 844
730187667 730192740 5073
730193600 730194104 504
730194106 730194180 74
730200091 730202940 2849
730203701 730205820 2119
730207555 730213260 5705
730229483 730229820 337
730249094 730249620 526
730250797 730252335 1538
730252434 730252506 72
730252555 730254180 1625
730256836 730257160 324
730263429 730265040 1611
730266223 730266568 345
730266570 730266605 35
730266607 730266631 24
730266633 730266647 14
730266649 730266660 11
730268075 730277340 9265
730278553 730285220 6667
730285222 730285352 130
730285354 730285401 47
730285403 730285454 51
730285456 730285980 524
730287499 730291855 4356
730292203 730294440 2237
730295777 730296360 583
730305383 730306680 1297
730346222 730346400 178
730348389 730348995 606
730373920 730374644 724
730407516 730411260 3744
730416815 730417380 565
730418960 730419540 580
730420217 730420320 103
730421320 730422180 860
730427303 730429591 2288
730429611 730431334 1723
730431349 730431995 646
730432006 730434180 2174
730435411 730435680 269
730437955 730443183 5228
730443185 730443420 235
730505382 730505460 78
730508762 730510207 1445
730510209 730513620 3411
730517115 730518780 1665
730520749 730527447 6698
730527449 730527706 257
730527708 730528130 422
730528132 730528250 118
730528252 730529936 1684
730529938 730534152 4214
730534154 730538061 3907
730538063 730538902 839
730550091 730559400 9309
730562770 730563960 1190
730637646 730643557 5911
730731367 730731542 175
730731747 730735260 3513
730752919 730752971 52
730752973 730753020 47
730764892 730769820 4928
730788574 730788637 63
730807292 730807680 388
730808834 730809020 186
730824859 730824900 41
730826162 730827300 1138
730828076 730828396 320
730828400 730828560 160
730829719 730831740 2021
730833016 730833447 431
730833449 730833720 271
730837115 730837147 32
730837149 730837380 231
730848241 730848600 359
730849192 730849439 247
730849441 730849445 4
730849447 730849500 53
730851180 730855905 4725
730855907 730855959 52
730855961 730856021 60
730856023 730856040 17
730857049 730857660 611
730862071 730863539 1468
730863541 730867980 4439
730889113 730897140 8027
730898199 730902970 4771
730908206 730908960 754
730909663 730911780 2117
730924236 730925040 804
730936052 730937640 1588
730946580 730950878 4298
730954029 730954133 104
730954883 730954953 70
730955040 730956420 1380
730962079 730966980 4901
730969804 730983660 13856
730989074 730990320 1246
730991437 730993980 2543
730999032 731000280 1248
731001012 731001240 228
731005689 731006293 604
731006385 731013120 6735
731137626 731138280 654
731138951 731141389 2438
731141391 731142956 1565
731144712 731145836 1124
731160362 731166776 6414
731169782 731170016 234
731171279 731174396 3117
731174400 731176980 2580
731179538 731187960 8422
731192516 731192940 424
731193583 731194380 797
731196000 731196084 84
731196086 731196480 394
731197324 731203860 6536
731205155 731210400 5245
731212156 731214120 1964
731215330 731216160 830
731217545 731220300 2755
731222025 731223914 1889
731223916 731227020 3104
731228078 731228338 260
731228340 731232180 3840
731233068 731233712 644
731233714 731234640 926
731238066 731240040 1974
731241209 731244840 3631
731246179 731248440 2261
731249956 731253720 3764
731258721 731260440 1719
731262126 731263140 1014
731264633 731264880 247
731266205 731267040 835
731268112 731272020 3908
731272931 731277300 4369
731284320 731284699 379
731284723 731284988 265
731286123 731286300 177
731286360 731287260 900
731287320 731287380 60
731287440 731287560 120
731287620 731288940 1320
731289060 731289240 180
731289300 731289360 60
731289420 731289480 60
731289600 731289840 240
731289900 731290200 300
731290260 731290440 180
731300372 731304660 4288
731305847 731309760 3913
731311961 731315860 3899
731315862 731319180 3318
731320238 731320738 500
731321487 731323926 2439
731323928 731325000 1072
731325060 731325240 180
731326075 731327160 1085
731340960 731342760 1800
731343047 731343720 673
731344795 731344860 65
731346251 731348400 2149
731350266 731350560 294
731387424 731391135 3711
731391137 731394600 3463
731403885 731404140 255
731404840 731405580 740
731406454 731407200 746
731408475 731410140 1665
731412000 731412120 120
731412180 731412240 60
731412360 731412460 100
731412548 731413140 592
731413200 731413680 480
731413740 731414400 660
731414460 731415199 739
731415201 731418480 3279
731421828 731422080 252
731430904 731431800 896
731432573 731433840 1267
731436417 731436840 423
731489120 731491680 2560
731499491 731500200 709
731503870 731504026 156
731504028 731504029 1
731504031 731504160 129
731506921 731506980 59
731507040 731507160 120
731508700 731508778 78
731508823 731509039 216
731509101 731509140 39
731509466 731509658 192
731509730 731510156 426
731510735 731510932 197
731510934 731511000 66
731516102 731516555 453
731516557 731516822 265
731516882 731517000 118
731519734 731519958 224
731520170 731521320 1150
731528830 731529660 830
731568790 731568960 170
731576459 731577480 1021
731578760 731582220 3460
731583440 731586600 3160
731587411 731587980 569
731589611 731589904 293
731590380 731591460 1080
731596105 731599740 3635
731603414 731605626 2212
731605893 731607840 1947
731609506 731609760 254
731613664 731614898 1234
731647964 731650851 2887
731651340 731655664 4324
731655672 731656259 587
731661720 731662560 840
731664431 731665980 1549
731667394 731671440 4046
731689267 731691000 1733
731693123 731695140 2017
731697204 731706414 9210
731714519 731715540 1021
731716479 731724300 7821
731726018 731734200 8182
731738761 731742360 3599
731743992 731745780 1788
731747460 731747880 420
731749991 731750700 709
731752500 731752740 240
731755469 731757094 1625
731757096 731757165 69
731757167 731757180 13
731758320 731759760 1440
731762160 731763840 1680
731767320 731772360 5040
731773498 731776680 3182
731791422 731791800 378
731794455 731797440 2985
731848800 731849160 360
731877093 731877840 747
731878748 731882580 3832
731883666 731884260 594
731884882 731888160 3278
731888744 731888880 136
731889721 731901660 11939
731903032 731903820 788
731904569 731906400 1831
731907053 731907631 578
731909101 731920380 11279
731921578 731921880 302
731922180 731922350 170
731922660 731923004 344
731923348 731923680 332
731924940 731926136 1196
731926138 731927400 1262
731928360 731928780 420
731931540 731933749 2209
731933797 731933820 23
731935080 731938860 3780
731940000 731940480 480
731941503 731943480 1977
731944230 731944980 750
731946096 731950440 4344
731951567 731954040 2473
731970980 731973780 2800
731985360 731988240 2880
731989980 731990141 161
731991604 731996700 5096
731998373 732001560 3187
732003420 732011100 7680
732013023 732014670 1647
732014672 732014676 4
732014678 732014700 22
732016101 732017820 1719
732021678 732022740 1062
732024000 732025380 1380
732028097 732029100 1003
732033070 732033203 133
732034481 732034555 74
732034731 732037834 3103
732037856 732038640 784
732078683 732078720 37
732083288 732086760 3472
732090482 732091749 1267
732091751 732092752 1001
732093566 732094920 1354
732094980 732097291 2311
