# Segment list file created Tue Sep 06 13:36:34 BST 2005 by ram on localhost.localdomain
# Input: S3H1H2v06_segs.txt (run S3, ifos H1H2, version 06)
# Use only non-playground data
# Don't analyze data with the following flags: H1:ACOUSTIC_ELEVATED H1:AIRPLANE H1:CALIB_LINE_V03 H1:DAQ_OVERFLOW H1:DUST H1:INJECTION_STOCHASTIC H1:INVALID_TIMING H1:LIGHTDIP H1:NO_CALIB_LINE_V01 H1:NO_CALIB_LINE_V02 H1:NO_DATA H1:NO_EXCITATION_V02 H1:NO_RDS H1:NONSTATIONARY_PSD_H1L1 H1:OUTSIDE_S3 H1:PRELOCKLOSS_10 H1:SEISMIC_ELEVATED H1:SEISMIC_HIGH H1:SEISMIC_TRANSIENT H1:UNLOCKED H2:ACOUSTIC_ELEVATED H2:AIRPLANE H2:CALIB_LINE_V03 H2:DAQ_OVERFLOW H2:DUST H2:INJECTION_STOCHASTIC H2:INVALID_TIMING H2:LIGHTDIP H2:NO_CALIB_LINE_V01 H2:NO_CALIB_LINE_V02 H2:NO_DATA H2:NO_EXCITATION_V02 H2:NO_RDS H2:NONSTATIONARY_PSD_H2L1 H2:OUTSIDE_S3 H2:PRELOCKLOSS_10 H2:SEISMIC_ELEVATED H2:SEISMIC_HIGH H2:SEISMIC_TRANSIENT H2:UNLOCKED
# Total duration of segments to be analyzed: 2259415
#seg    start      stop    duration
   2  751658595  751658820    225
   2  751659060  751659180    120
   2  751659240  751659300     60
   2  751659420  751659900    480
   2  751660020  751660140    120
   2  751660200  751660260     60
   2  751660380  751660860    480
   2  751661040  751661160    120
   2  751661220  751661340    120
   3  751661760  751662375    615
   4  751662540  751662780    240
   4  751662840  751662960    120
   4  751663020  751663320    300
   4  751663380  751664163    783
   4  751664763  751665060    297
   4  751665420  751665480     60
   4  751665540  751665660    120
   4  751665720  751665960    240
   4  751666080  751666260    180
   4  751666500  751666560     60
   4  751666680  751666920    240
   4  751667340  751668180    840
   5  751674735  751675020    285
   5  751675080  751675560    480
   5  751675620  751675680     60
   5  751675740  751675800     60
   7  751676775  751676903    128
   7  751677503  751678020    517
   7  751678080  751678200    120
   7  751678320  751678740    420
   7  751678800  751678860     60
   7  751679280  751679400    120
   7  751679460  751680060    600
   7  751680180  751680240     60
   7  751680360  751681140    780
   7  751681380  751681440     60
   7  751681500  751681860    360
   7  751681980  751682105    125
   8  751682655  751683273    618
   8  751683873  751685113   1240
   9  751685582  751686120    538
   9  751686840  751688820   1980
   9  751688880  751689015    135
   9  751689075  751689120     45
   9  751689180  751689643    463
   9  751690243  751693335   3092
   9  751693395  751693995    600
  10  751694115  751694175     60
  11  751694295  751694655    360
  12  751697175  751697640    465
  12  751697820  751697880     60
  12  751698000  751698135    135
  13  751698616  751698780    164
  13  751698960  751699080    120
  13  751699260  751699620    360
  13  751699680  751700355    675
  13  751700415  751702153   1738
  14  751702983  751703460    477
  14  751703520  751706040   2520
  14  751706100  751707555   1455
  15  751707675  751708753   1078
  15  751709353  751715123   5770
  15  751715723  751716613    890
  16  751731255  751734233   2978
  16  751734833  751736460   1627
  16  751736520  751738320   1800
  16  751738440  751738573    133
  17  751746795  751746900    105
  17  751747573  751748400    827
