# Segment list file created Tue Sep 06 13:36:22 BST 2005 by ram on localhost.localdomain
# Input: S3H1H2v06_segs.txt (run S3, ifos H1H2, version 06)
# Use only playground data
# Don't analyze data with the following flags: H1:ACOUSTIC_ELEVATED H1:AIRPLANE H1:CALIB_LINE_V03 H1:DAQ_OVERFLOW H1:DUST H1:INJECTION_STOCHASTIC H1:INVALID_TIMING H1:LIGHTDIP H1:NO_CALIB_LINE_V01 H1:NO_CALIB_LINE_V02 H1:NO_DATA H1:NO_EXCITATION_V02 H1:NO_RDS H1:NONSTATIONARY_PSD_H1L1 H1:OUTSIDE_S3 H1:PRELOCKLOSS_10 H1:SEISMIC_ELEVATED H1:SEISMIC_HIGH H1:SEISMIC_TRANSIENT H1:UNLOCKED H2:ACOUSTIC_ELEVATED H2:AIRPLANE H2:CALIB_LINE_V03 H2:DAQ_OVERFLOW H2:DUST H2:INJECTION_STOCHASTIC H2:INVALID_TIMING H2:LIGHTDIP H2:NO_CALIB_LINE_V01 H2:NO_CALIB_LINE_V02 H2:NO_DATA H2:NO_EXCITATION_V02 H2:NO_RDS H2:NONSTATIONARY_PSD_H2L1 H2:OUTSIDE_S3 H2:PRELOCKLOSS_10 H2:SEISMIC_ELEVATED H2:SEISMIC_HIGH H2:SEISMIC_TRANSIENT H2:UNLOCKED
# Total duration of segments to be analyzed: 255769
#seg    start      stop    duration
   4  751664163  751664400    237
   4  751664460  751664763    303
   7  751676903  751677503    600
   8  751683273  751683873    600
   9  751689643  751690243    600
  14  751702875  751702983    108
  15  751708753  751709353    600
  15  751715123  751715723    600
  16  751734233  751734833    600
  17  751747020  751747573    553
  17  751753343  751753500    157
  17  751753680  751753800    120
  17  751753860  751753943     83
  21  751766083  751766113     30
  22  751772453  751772520     67
  22  751772580  751773053    473
  24  751785240  751785300     60
  24  751785360  751785716    356
  24  751785742  751785793     51
  26  751791563  751792163    600
  27  751797933  751798533    600
  27  751804303  751804865    562
  27  751810680  751811273    593
  28  751823413  751823977    564
  28  751824003  751824013     10
  31  751874373  751874973    600
  31  751880743  751881343    600
  31  751887113  751887153     40
  31  751887211  751887331    120
  31  751887385  751887505    120
  31  751887552  751887713    161
  32  751893483  751894083    600
  32  751899853  751900453    600
  33  751912593  751912620     27
  33  751912740  751912980    240
  33  751913040  751913193    153
  38  751976293  751976760    467
  40  751989300  751989360     60
  40  751995403  751996003    600
  41  752008143  752008200     57
  41  752008380  752008743    363
  59  752333160  752333340    180
  59  752333460  752333613    153
  59  752339383  752339556    173
  60  752339736  752339983    247
  61  752345753  752346353    600
  61  752352123  752352723    600
  62  752358493  752359080    587
  62  752364863  752365320    457
  62  752365380  752365463     83
  63  752377603  752378203    600
  63  752383973  752384573    600
  64  752390343  752390943    600
