# Segment list file created Fri Jun 03 14:26:15 BST 2005 by ram on lnx5.sr.bham.ac.uk
# Input: S3H1L1v05_segs.txt (run S3, ifos H1L1, version 05)
# Use only non-playground data
# Minimum segment length to analyze: 182
# Don't analyze data with the following flags: H1:ACOUSTIC_ELEVATED H1:AIRPLANE H1:CALIB_LINE_V03 H1:DAQ_OVERFLOW H1:DUST H1:INJECTION_STOCHASTIC H1:INVALID_TIMING H1:LIGHTDIP H1:NO_CALIB_LINE_V01 H1:NO_CALIB_LINE_V02 H1:NO_EXCITATION_V02 H1:OUTSIDE_S3 H1:PRELOCKLOSS_10 H1:SEISMIC_ELEVATED H1:SEISMIC_HIGH H1:SEISMIC_TRANSIENT H1:UNLOCKED L1:AIRPLANE L1:CALIB_LINE_V03 L1:DAQ_OVERFLOW L1:DCU_TIMING_OFFSET L1:DUST L1:FE_SYNCH_ERROR L1:FE_SYNCH_WARNING L1:INJECTION_STOCHASTIC L1:LIGHTDIP L1:NO_CALIB_LINE_V01 L1:NO_CALIB_LINE_V02 L1:NO_EXCITATION_V02 L1:OUTSIDE_S3 L1:PRELOCKLOSS_10 L1:UNLOCKED
# Total duration of segments to be analyzed: 548866
#seg    start      stop    duration
 120  753582433  753582660    227
 120  753582720  753584557   1837
 121  753590360  753590833    473
 122  753591883  753593911   2028
 124  753595428  753596520   1092
 124  753596580  753596940    360
 124  753597240  753597660    420
 124  753598020  753598560    540
 124  753598800  753599263    463
 125  753601318  753602106    788
 126  753602346  753606793   4447
 127  753608460  753608743    283
 128  753614232  753616963   2731
 129  753618322  753619739   1417
 129  753620353  753620623    270
 130  753622000  753622993    993
 131  753624765  753625304    539
 132  753628866  753629083    217
 134  753633708  753634064    356
 135  753635766  753636013    247
 136  753637415  753637827    412
 136  753637830  753638679    849
 136  753639463  753639973    510
 137  753646406  753646963    557
 138  753649788  753651603   1815
 139  753653423  753653673    250
 139  753653799  753657943   4144
 140  753663737  753664343    606
 141  753666648  753667140    492
 141  753667200  753668143    943
 142  753669348  753670093    745
 143  753768672  753769543    871
 144  753769690  753771060   1370
 144  753771120  753771348    228
 145  753775750  753776040    290
 145  753776100  753776388    288
 146  753782697  753785191   2494
 148  753788884  753789708    824
 149  753792343  753793200    857
 153  753846664  753847008    344
 155  753850804  753854053   3249
 157  753866359  753867373   1014
 166  753945223  753947164   1941
 166  753947167  753947979    812
 166  753948300  753948764    464
 167  753950100  753950340    240
 169  753954408  753954881    473
 169  753954884  753955159    275
 170  753958728  753959353    625
 171  753967190  753967393    203
 172  753976188  753976393    205
 173  753977928  753978144    216
 174  753978625  753979033    408
 176  753990708  753991573    865
