# Segment list file created Wed Jun 22 15:28:42 BST 2005 by ram on localhost.localdomain
# Input: S3H1L1v06_segs.txt (run S3, ifos H1L1, version 06)
# Use only non-playground data
# Don't analyze data with the following flags: H1:ACOUSTIC_ELEVATED H1:AIRPLANE H1:CALIB_LINE_V03 H1:DAQ_OVERFLOW H1:DUST H1:INJECTION_STOCHASTIC H1:INVALID_TIMING H1:LIGHTDIP H1:NO_CALIB_LINE_V01 H1:NO_CALIB_LINE_V02 H1:NO_EXCITATION_V02 H1:NONSTATIONARY_PSD_H1L1 H1:OUTSIDE_S3 H1:PRELOCKLOSS_10 H1:SEISMIC_ELEVATED H1:SEISMIC_HIGH H1:SEISMIC_TRANSIENT H1:UNLOCKED L1:AIRPLANE L1:CALIB_LINE_V03 L1:DAQ_OVERFLOW L1:DCU_TIMING_OFFSET L1:DUST L1:FE_SYNCH_ERROR L1:FE_SYNCH_WARNING L1:INJECTION_STOCHASTIC L1:LIGHTDIP L1:NO_CALIB_LINE_V01 L1:NO_CALIB_LINE_V02 L1:NO_EXCITATION_V02 L1:NONSTATIONARY_PSD_H1L1 L1:NONSTATIONARY_PSD_H2L1 L1:OUTSIDE_S3 L1:PRELOCKLOSS_10 L1:UNLOCKED
# Total duration of segments to be analyzed: 357036
#seg    start      stop    duration
 120  753582433  753582643    210
 120  753582720  753582763     43
 120  753582823  753583063    240
 120  753583123  753583183     60
 120  753583393  753583603    210
 120  753583663  753583753     90
 120  753583813  753583933    120
 120  753584023  753584173    150
 120  753584323  753584413     90
 120  753584503  753584557     54
 121  753590360  753590536    176
 121  753590596  753590833    237
 122  753591768  753591877    109
 122  753591883  753592292    409
 122  753592562  753592682    120
 122  753592802  753592832     30
 122  753593042  753593072     30
 122  753593132  753593252    120
 122  753593582  753593672     90
 122  753593762  753593911    149
 123  753593944  753594103    159
 124  753595428  753595616    188
 124  753595706  753595826    120
 124  753595886  753596006    120
 124  753596426  753596520     94
 124  753596580  753596606     26
 124  753596666  753596940    274
 124  753597026  753597120     94
 124  753597240  753597296     56
 124  753597506  753597660    154
 124  753597720  753597776     56
 124  753598076  753598226    150
 124  753598436  753598560    124
 124  753599006  753599156    150
 124  753599216  753599263     47
 125  753601243  753601316     73
 125  753601318  753601362     44
 125  753601422  753601498     76
 125  753601572  753601738    166
 125  753601932  753601948     16
 125  753602052  753602106     54
 126  753602346  753602398     52
 126  753602548  753602578     30
 126  753602998  753603028     30
 126  753603238  753603478    240
 126  753604258  753604288     30
 126  753604678  753604738     60
 126  753604828  753605038    210
 126  753605248  753605308     60
 126  753605368  753605458     90
 126  753605548  753605578     30
 126  753605788  753605968    180
 126  753606058  753606478    420
 126  753606538  753606793    255
 127  753608341  753608400     59
 127  753608707  753608743     36
 128  753614232  753615192    960
 128  753615252  753616032    780
 128  753616092  753616512    420
 128  753616572  753616963    391
 129  753618322  753618587    265
 129  753618647  753619739   1092
 129  753620353  753620623    270
 130  753622000  753622346    346
 130  753622406  753622586    180
 130  753622646  753622993    347
 131  753624765  753624989    224
 131  753625049  753625304    255
 132  753628866  753629083    217
 133  753629929  753630073    144
 134  753633708  753633778     70
 134  753634048  753634064     16
 135  753635766  753635799     33
 135  753635949  753636013     64
 136  753637261  753637372    111
 136  753637432  753637462     30
 136  753637522  753637552     30
 136  753637702  753637732     30
 136  753637822  753637827      5
 136  753637830  753637882     52
 136  753637972  753638092    120
 136  753638182  753638332    150
 136  753638542  753638632     90
 136  753638752  753638863    111
 136  753639463  753639538     75
 136  753639628  753639688     60
 136  753639898  753639973     75
 137  753646406  753646572    166
 137  753646902  753646963     61
 138  753649788  753649945    157
 138  753650035  753650215    180
 138  753650425  753650485     60
 138  753650905  753650965     60
 138  753651025  753651055     30
 138  753651535  753651603     68
 139  753653423  753653508     85
 139  753653598  753653673     75
 139  753653676  753653688     12
 139  753653778  753653796     18
 139  753653799  753653898     99
 139  753653958  753654408    450
 139  753654618  753655128    510
 139  753655188  753655428    240
 139  753655638  753655998    360
 139  753656058  753656418    360
 139  753656478  753656988    510
 139  753657048  753657138     90
 139  753657413  753657943    530
 140  753663737  753663800     63
 140  753663860  753664343    483
 141  753666648  753666941    293
 141  753667271  753667661    390
 141  753667751  753667901    150
 141  753667991  753668143    152
 142  753669348  753669890    542
 142  753670010  753670093     83
 143  753768640  753768669     29
 143  753768672  753768808    136
 143  753768868  753769258    390
 143  753769318  753769408     90
 143  753769468  753769543     75
 144  753769690  753769751     61
 144  753769871  753770831    960
 144  753771120  753771131     11
 144  753771251  753771348     97
 145  753775750  753775811     61
 145  753775931  753776040    109
 145  753776100  753776261    161
 145  753776351  753776388     37
 146  753782697  753783255    558
 146  753783555  753783615     60
 146  753783845  753784005    160
 146  753784085  753784145     60
 146  753784275  753784295     20
 146  753784635  753784665     30
 146  753785085  753785175     90
 146  753785265  753785373    108
 148  753788884  753789067    183
 148  753789247  753789397    150
 148  753789457  753789517     60
 148  753789577  753789708    131
 149  753791704  753791743     39
 149  753792343  753792506    163
 149  753792596  753792836    240
 149  753792926  753793200    274
 152  753842404  753842568    164
 153  753846664  753846781    117
 153  753846871  753847008    137
 155  753850804  753850997    193
 155  753851117  753851147     30
 155  753851237  753851807    570
 155  753851867  753852257    390
 155  753852677  753852827    150
 155  753852887  753853427    540
 155  753853487  753853907    420
 155  753853967  753854053     86
 157  753866359  753866608    249
 157  753866728  753866968    240
 157  753867028  753867058     30
 157  753867118  753867238    120
 157  753867298  753867373     75
 166  753945223  753945298     75
 166  753945448  753945598    150
 166  753945658  753945688     30
 166  753946078  753946108     30
 166  753946168  753946288    120
 166  753946798  753946819     21
 166  753946909  753946939     30
 166  753947158  753947164      6
 166  753947167  753947179     12
 166  753947428  753947458     30
 166  753947788  753947899    111
 166  753947959  753947979     20
 166  753947982  753948049     67
 166  753948300  753948529    229
 166  753948718  753948764     46
 167  753949730  753949775     45
 167  753949779  753949796     17
 167  753950100  753950340    240
 167  753950400  753950460     60
 169  753954408  753954881    473
 169  753954884  753954899     15
 169  753955079  753955159     80
 170  753958728  753958742     14
 170  753958862  753958982    120
 170  753959252  753959353    101
 171  753967190  753967393    203
 172  753976188  753976192      4
 172  753976312  753976393     81
 173  753977928  753977961     33
 173  753978021  753978144    123
 174  753978625  753978889    264
 174  753978949  753979033     84
 176  753990708  753991573    865
 177  754005588  754005739    151
 177  754005799  754006009    210
 177  754006069  754006099     30
 177  754006219  754006249     30
 177  754006309  754006969    660
 177  754007059  754007160    101
 177  754007220  754007449    229
 177  754007509  754007539     30
 177  754007599  754007610     11
 177  754007779  754007809     30
 177  754007869  754007899     30
 177  754008240  754008323     83
 177  754008923  754009008     85
 177  754009068  754009158     90
 177  754009398  754009428     30
 177  754009638  754009848    210
 177  754009998  754010088     90
 177  754010148  754010208     60
 177  754010268  754012248   1980
 177  754012308  754012578    270
 177  754012698  754013160    462
 177  754013220  754013718    498
 177  754013778  754014048    270
 177  754014108  754014433    325
 179  754018870  754019679    809
 179  754019682  754020326    644
 179  754020446  754020550    104
 179  754020553  754020891    338
 179  754020894  754021063    169
 185  754180913  754181343    430
 185  754181403  754181493     90
 185  754181703  754182060    357
 185  754182120  754182603    483
 185  754182663  754183260    597
 186  754189542  754189707    165
 186  754189767  754190637    870
 186  754190697  754190997    300
 186  754191057  754191537    480
 186  754191597  754192197    600
 186  754192257  754193053    796
 186  754193653  754194043    390
 186  754194103  754194204    101
 187  754195488  754195619    131
 187  754195679  754195824    145
 188  754196928  754197235    307
 188  754197295  754197415    120
 188  754197535  754197613     78
 189  754200228  754200679    451
 189  754200739  754201129    390
 189  754201219  754201309     90
 189  754201459  754201639    180
 189  754201699  754201729     30
 189  754201909  754202359    450
 189  754202479  754202629    150
 189  754202689  754203073    384
 190  754205388  754205793    405
 190  754206393  754206503    110
 190  754206593  754206803    210
 190  754206863  754206923     60
