# Segment list file created Tue Sep 06 13:37:07 BST 2005 by ram on localhost.localdomain
# Input: S3H2L1v06_segs.txt (run S3, ifos H2L1, version 06)
# Use only non-playground data
# Don't analyze data with the following flags: H2:ACOUSTIC_ELEVATED H2:AIRPLANE H2:CALIB_LINE_V03 H2:DAQ_OVERFLOW H2:DUST H2:INJECTION_STOCHASTIC H2:INVALID_TIMING H2:LIGHTDIP H2:NO_CALIB_LINE_V01 H2:NO_CALIB_LINE_V02 H2:NO_EXCITATION_V02 H2:NONSTATIONARY_PSD_H2L1 H2:OUTSIDE_S3 H2:PRELOCKLOSS_10 H2:SEISMIC_ELEVATED H2:SEISMIC_HIGH H2:SEISMIC_TRANSIENT H2:UNLOCKED L1:AIRPLANE L1:CALIB_LINE_V03 L1:DAQ_OVERFLOW L1:DCU_TIMING_OFFSET L1:DUST L1:FE_SYNCH_ERROR L1:FE_SYNCH_WARNING L1:INJECTION_STOCHASTIC L1:INVALID_TIMING L1:LIGHTDIP L1:NO_CALIB_LINE_V01 L1:NO_CALIB_LINE_V02 L1:NO_EXCITATION_V02 L1:NONSTATIONARY_PSD_H1L1 L1:NONSTATIONARY_PSD_H2L1 L1:OUTSIDE_S3 L1:PRELOCKLOSS_10 L1:UNLOCKED
# Total duration of segments to be analyzed: 320785
#seg    start      stop    duration
 126  753582433  753582643    210
 126  753582720  753582763     43
 126  753582823  753583063    240
 126  753583123  753583183     60
 126  753583393  753583603    210
 126  753583663  753583753     90
 126  753583813  753583933    120
 126  753584023  753584173    150
 126  753584323  753584413     90
 126  753584503  753584557     54
 127  753590360  753590536    176
 127  753590596  753590833    237
 128  753591768  753591877    109
 128  753591883  753592292    409
 128  753592562  753592682    120
 128  753592802  753592832     30
 128  753593042  753593072     30
 128  753593132  753593252    120
 128  753593582  753593672     90
 128  753593762  753593911    149
 129  753593944  753594103    159
 130  753595428  753595616    188
 130  753595706  753595826    120
 130  753595886  753596006    120
 130  753596426  753596520     94
 130  753596580  753596606     26
 130  753596666  753596940    274
 130  753597026  753597120     94
 130  753597240  753597296     56
 130  753597506  753597660    154
 130  753597720  753597776     56
 130  753598076  753598226    150
 130  753598436  753598560    124
 130  753599006  753599156    150
 130  753599216  753599263     47
 131  753601243  753601316     73
 131  753601318  753601362     44
 131  753601422  753601498     76
 131  753601572  753601738    166
 131  753601932  753601948     16
 131  753602052  753602188    136
 131  753602248  753602398    150
 131  753602548  753602578     30
 131  753602998  753603028     30
 131  753603238  753603478    240
 131  753604258  753604288     30
 131  753604678  753604738     60
 131  753604828  753605038    210
 131  753605248  753605308     60
 131  753605368  753605458     90
 131  753605548  753605578     30
 131  753605788  753605968    180
 131  753606058  753606478    420
 131  753606538  753606793    255
 132  753608341  753608400     59
 132  753608707  753608743     36
 133  753614232  753615192    960
 133  753615252  753616032    780
 133  753616092  753616512    420
 133  753616572  753616963    391
 134  753618322  753618587    265
 134  753618647  753619739   1092
 134  753620353  753620623    270
 135  753622000  753622346    346
 135  753622406  753622586    180
 135  753622646  753622993    347
 136  753624765  753624989    224
 136  753625049  753625304    255
 137  753629929  753629984     55
 138  753633708  753633778     70
 138  753634048  753634168    120
 138  753634378  753634453     75
 139  753635388  753635409     21
 139  753635649  753635799    150
 139  753635949  753636013     64
 140  753637261  753637372    111
 140  753637432  753637462     30
 140  753637522  753637552     30
 140  753637702  753637732     30
 140  753637822  753637827      5
 140  753637830  753637882     52
 140  753637972  753638092    120
 140  753638182  753638332    150
 140  753638542  753638632     90
 140  753638752  753638863    111
 140  753639463  753639538     75
 140  753639628  753639688     60
 140  753639898  753639973     75
 141  753646406  753646572    166
 141  753646902  753646963     61
 142  753649788  753649945    157
 142  753650035  753650215    180
 142  753650425  753650485     60
 142  753650905  753650965     60
 142  753651025  753651055     30
 142  753651535  753651603     68
 143  753655686  753655998    312
 143  753656058  753656418    360
 143  753656478  753656988    510
 143  753657048  753657138     90
 143  753657413  753657943    530
 144  753663737  753663800     63
 144  753663860  753664343    483
 145  753666648  753666941    293
 145  753667271  753667661    390
 145  753667751  753667901    150
 145  753667991  753668143    152
 146  753669348  753669890    542
 146  753670010  753670093     83
 147  753768640  753768669     29
 147  753768672  753768808    136
 147  753768868  753769258    390
 147  753769318  753769408     90
 147  753769468  753769543     75
 148  753769690  753769751     61
 148  753769871  753770831    960
 148  753771120  753771131     11
 148  753771251  753771348     97
 149  753775750  753775811     61
 149  753775931  753776040    109
 149  753776100  753776261    161
 149  753776351  753776388     37
 150  753782697  753783255    558
 150  753783555  753783615     60
 150  753783845  753784005    160
 150  753784085  753784145     60
 150  753784275  753784295     20
 152  753788884  753789067    183
 152  753789247  753789284     37
 160  753944289  753944351     62
 160  753944411  753944444     33
 161  753946798  753946819     21
 161  753946909  753946939     30
 161  753947158  753947164      6
 161  753947167  753947179     12
 161  753947428  753947458     30
 161  753947788  753947899    111
 161  753947959  753947979     20
 161  753947982  753948049     67
 161  753948300  753948529    229
 161  753948718  753948764     46
 163  753954408  753954881    473
 163  753954884  753954899     15
 163  753955079  753955159     80
 164  753958728  753958742     14
 164  753958862  753958982    120
 164  753959252  753959353    101
 165  753967190  753967393    203
 166  753976188  753976192      4
 166  753976312  753976393     81
 167  753977928  753977961     33
 167  753978021  753978144    123
 168  753978625  753978889    264
 168  753978949  753979033     84
 170  753990708  753991573    865
 171  754006850  754006969    119
 171  754007059  754007160    101
 171  754007220  754007449    229
 171  754007509  754007539     30
 171  754007599  754007610     11
 171  754007779  754007809     30
 171  754007869  754007899     30
 171  754008240  754008323     83
 171  754008923  754009008     85
 171  754009068  754009158     90
 171  754009398  754009428     30
 171  754009638  754009848    210
 171  754009998  754010088     90
 171  754010148  754010208     60
 171  754010268  754012248   1980
 171  754012308  754012578    270
 171  754012698  754013160    462
 171  754013220  754013718    498
 171  754013778  754014048    270
 171  754014108  754014433    325
 173  754018870  754019679    809
 173  754019682  754020326    644
 173  754020446  754020550    104
 173  754020553  754020891    338
 173  754020894  754021063    169
 177  754180913  754181343    430
 177  754181403  754181493     90
 177  754181703  754182060    357
 177  754182120  754182603    483
 177  754182663  754183260    597
 177  754183350  754183440     90
 178  754189542  754189707    165
 178  754189767  754190637    870
 178  754190697  754190997    300
 178  754191057  754191537    480
 178  754191597  754192197    600
 178  754192257  754193053    796
 178  754193653  754194043    390
 178  754194103  754194204    101
 179  754195488  754195619    131
 179  754195679  754195824    145
 180  754196928  754197235    307
 180  754197295  754197415    120
 180  754197535  754197613     78
 181  754200228  754200679    451
 181  754200739  754201129    390
 181  754201219  754201309     90
 181  754201459  754201639    180
 181  754201699  754201729     30
 181  754201909  754202359    450
 181  754202479  754202629    150
 181  754202689  754203073    384
 182  754206393  754206503    110
 182  754206593  754206803    210
 182  754206863  754206923     60
 182  754207043  754207193    150
 182  754207343  754207500    157
 183  754209408  754209627    219
 183  754209747  754210017    270
 183  754210077  754210257    180
 183  754210317  754210573    256
 184  754213780  754214293    513
 185  754216668  754216929    261
 185  754216989  754217019     30
 185  754217229  754217409    180
 185  754217619  754217919    300
 185  754218039  754218069     30
 185  754218129  754218369    240
