# Segment list file created Tue Sep 06 13:36:57 BST 2005 by ram on localhost.localdomain
# Input: S3H2L1v06_segs.txt (run S3, ifos H2L1, version 06)
# Use only playground data
# Don't analyze data with the following flags: H2:ACOUSTIC_ELEVATED H2:AIRPLANE H2:CALIB_LINE_V03 H2:DAQ_OVERFLOW H2:DUST H2:INJECTION_STOCHASTIC H2:INVALID_TIMING H2:LIGHTDIP H2:NO_CALIB_LINE_V01 H2:NO_CALIB_LINE_V02 H2:NO_EXCITATION_V02 H2:NONSTATIONARY_PSD_H2L1 H2:OUTSIDE_S3 H2:PRELOCKLOSS_10 H2:SEISMIC_ELEVATED H2:SEISMIC_HIGH H2:SEISMIC_TRANSIENT H2:UNLOCKED L1:AIRPLANE L1:CALIB_LINE_V03 L1:DAQ_OVERFLOW L1:DCU_TIMING_OFFSET L1:DUST L1:FE_SYNCH_ERROR L1:FE_SYNCH_WARNING L1:INJECTION_STOCHASTIC L1:INVALID_TIMING L1:LIGHTDIP L1:NO_CALIB_LINE_V01 L1:NO_CALIB_LINE_V02 L1:NO_EXCITATION_V02 L1:NONSTATIONARY_PSD_H1L1 L1:NONSTATIONARY_PSD_H2L1 L1:OUTSIDE_S3 L1:PRELOCKLOSS_10 L1:UNLOCKED
# Total duration of segments to be analyzed: 48142
#seg    start      stop    duration
 131  753601043  753601243    200
 134  753620041  753620353    312
 140  753638863  753639463    600
 142  753651603  753651643     40
 144  753664343  753664363     20
 171  754008323  754008923    600
 173  754021063  754021167    104
 173  754021171  754021250     79
 173  754021253  754021445    192
 173  754021448  754021633    185
 177  754180513  754180913    400
 178  754193053  754193653    600
 182  754205943  754206393    450
 185  754218533  754219133    600
 186  754224903  754225104    201
 188  754231273  754231393    120
 189  754237643  754238243    600
 193  754250383  754250983    600
 195  754263123  754263723    600
 195  754269493  754269882    389
 195  754269885  754270093    208
 196  754282233  754282440    207
 196  754282500  754282833    333
 216  754562513  754563113    600
 216  754568883  754569483    600
 217  754575253  754575853    600
 247  755346023  755346623    600
 248  755352393  755352993    600
 251  755365188  755365320    132
 251  755365380  755365733    353
 254  755505273  755505758    485
 256  755511753  755512243    490
 262  755575343  755575943    600
 263  755607488  755607720    232
 269  755760073  755760404    331
 274  755785553  755785933    380
 309  755932511  755932663    152
 312  755944803  755945384    581
 313  755951173  755951773    600
 313  755957543  755958048    505
 315  755963913  755964513    600
 319  755976653  755976718     65
 320  755976964  755977064    100
 325  755989393  755989993    600
 328  755995980  755996059     79
 329  755996262  755996363    101
 331  756002460  756002733    273
 333  756008503  756009103    600
 335  756014988  756015473    485
 339  756027613  756027824    211
 341  756053093  756053268    175
 342  756065833  756066433    600
 343  756072203  756072803    600
 345  756078573  756078704    131
 348  756084943  756085543    600
 350  756091313  756091724    411
 354  756098088  756098283    195
 357  756104053  756104653    600
 359  756110808  756111023    215
 360  756116793  756117393    600
 363  756129734  756130054    320
 367  756155013  756155088     75
 370  756180493  756181008    515
 374  756193233  756193560    327
 374  756193620  756193833    213
 377  756205973  756206328    355
 378  756212343  756212943    600
 382  756301608  756302123    515
 385  756403443  756403750    307
 387  756416183  756416783    600
 393  756441663  756442128    465
 394  756448328  756448440    112
 394  756448500  756448633    133
 396  756467143  756467743    600
 398  756473513  756474113    600
 399  756480353  756480483    130
 400  756486253  756486404    151
 401  756492623  756493223    600
 402  756498993  756499100    107
 404  756505380  756505521    141
 404  756505541  756505963    422
 405  756511733  756511784     51
 410  756530843  756531443    600
 417  756549953  756550488    535
 421  756562693  756563293    600
 422  756569063  756569663    600
 426  756594543  756594768    225
 431  756613653  756614253    600
 432  756626393  756626993    600
 434  756645503  756645588     85
 440  756690613  756690693     80
 441  756696905  756697063    158
 442  756702833  756703433    600
 442  756709203  756709803    600
 443  756715573  756716173    600
 446  756811123  756811723    600
 447  756849343  756849720    377
 447  756849900  756849943     43
 448  756862380  756862604    224
 452  756881193  756881640    447
 452  756881700  756881793     93
 455  756900303  756900903    600
 456  756906673  756907273    600
 458  756932153  756932268    115
 488  757212433  757212600    167
 488  757212660  757213033    373
 489  757218803  757219403    600
 491  757225186  757225773    587
 494  757237913  757238384    471
 498  757250653  757251253    600
 498  757257023  757257623    600
 500  757263393  757263993    600
 501  757269763  757270273    510
 504  757282503  757283103    600
 505  757295243  757295460    217
 505  757295520  757295843    323
 505  757301613  757302213    600
 507  757307986  757308583    597
 515  757320826  757321323    497
 517  757333463  757334063    600
 518  757339833  757340433    600
 519  757346203  757346760    557
