# Segment list file created Tue Apr 04 12:08:04 PM CDT 2006 by siemens on trinity.phys.uwm.edu
# Input: S4H1H2L1v09_segs.txt (run S4, ifos H1H2L1, version 09)
# Don't analyze data with the following flags: H1:ADC_OVERFLOW H1:ASDC_LOW_THRESH H1:CALIB_LINE_DROPOUT H1:INJECTION_BURST H1:INJECTION_INSPIRAL H1:INJECTION_PULSTART H1:INJECTION_STOCHASTIC H1:JET H1:LIGHTDIP_04PERCENT H1:OUTSIDE_S4 H1:PRELOCKLOSS_30 H1:SEISMIC_0D9_1D1 H2:ADC_OVERFLOW H2:CALIB_LINE_DROPOUT H2:INJECTION_BURST H2:INJECTION_INSPIRAL H2:INJECTION_PULSTART H2:INJECTION_STOCHASTIC H2:JET H2:LIGHTDIP_05PERCENT H2:OUTSIDE_S4 H2:PRELOCKLOSS_30 H2:SEISMIC_0D9_1D1 H2:WIND_OVER_30MPH L1:ADC_OVERFLOW L1:ASDC_LOW_THRESH L1:CALIB_LINE_DROPOUT L1:INJECTION_BURST L1:INJECTION_INSPIRAL L1:INJECTION_PULSTART L1:INJECTION_STOCHASTIC L1:LIGHTDIP_05PERCENT L1:NO_DATA L1:NO_RDS L1:OUT_OF_LOCK L1:OUTSIDE_S4 L1:PRELOCKLOSS_30
# Total duration of segments to be analyzed: 1355965
#seg    start      stop    duration
   1  793154935  793155525    590
   1  793155537  793156001    464
   2  793162420  793162750    330
   3  793166407  793166690    283
   3  793166692  793166719     27
   3  793166721  793166820     99
   3  793166940  793167414    474
   3  793167416  793167752    336
   3  793167754  793167813     59
   3  793167815  793167874     59
   3  793167876  793168697    821
   3  793168699  793169536    837
   3  793169539  793170711   1172
   4  793171761  793173397   1636
   4  793173399  793174919   1520
   4  793174921  793175885    964
   4  793175887  793175899     12
   5  793176592  793177761   1169
   5  793177764  793178236    472
   5  793178238  793179865   1627
   6  793180277  793181019    742
   6  793181022  793181657    635
   6  793181660  793182858   1198
   6  793182860  793183448    588
   7  793184321  793184652    331
   7  793184655  793185093    438
   7  793185095  793185713    618
   7  793185715  793186508    793
   7  793186510  793186761    251
   7  793186763  793187295    532
   7  793187297  793187324     27
   7  793187327  793187399     72
   7  793187402  793187475     73
   7  793187479  793187575     96
   7  793187577  793188209    632
   7  793188211  793188367    156
   7  793188370  793188396     26
   7  793188398  793188461     63
   7  793188463  793188485     22
   7  793188487  793188819    332
   7  793188822  793188894     72
   7  793188897  793188964     67
   7  793188966  793188996     30
   7  793189002  793189008      6
   7  793189010  793189952    942
   7  793189955  793190476    521
   7  793190478  793190716    238
   7  793190718  793190726      8
   7  793190729  793190804     75
   7  793190806  793190817     11
   7  793190819  793190821      2
   7  793190824  793190827      3
   7  793190829  793190852     23
   7  793190854  793190858      4
   7  793190860  793190863      3
   7  793190868  793190869      1
   7  793190871  793190876      5
   7  793190878  793190883      5
   7  793190885  793190902     17
   7  793190906  793190923     17
   8  793191605  793191882    277
   8  793191884  793191943     59
   9  793194920  793195472    552
   9  793195474  793195545     71
   9  793195547  793195549      2
   9  793195557  793197114   1557
  10  793199648  793200078    430
  10  793200081  793200545    464
  10  793200549  793200552      3
  10  793200554  793200563      9
  10  793200566  793200568      2
  10  793200570  793200572      2
  10  793200574  793200581      7
  10  793200584  793200587      3
  10  793200589  793200598      9
  10  793200600  793200631     31
  10  793200637  793200669     32
  10  793200671  793200752     81
  10  793200754  793200797     43
  10  793200800  793200913    113
  10  793200915  793201000     85
  10  793201002  793201125    123
  10  793201127  793201140     13
  10  793201144  793201359    215
  10  793201361  793201723    362
  10  793201725  793201788     63
  10  793201790  793201877     87
  10  793201880  793202152    272
  10  793202154  793202183     29
  10  793202186  793202217     31
  10  793202219  793202234     15
  10  793202236  793202263     27
  10  793202265  793202318     53
  10  793202320  793202389     69
  10  793202393  793202498    105
  10  793202500  793202581     81
  10  793202585  793202588      3
  10  793202590  793202640     50
  10  793202643  793202674     31
  10  793202676  793202679      3
  10  793202681  793202710     29
  10  793202714  793202810     96
  10  793202812  793202828     16
  10  793202830  793202842     12
  10  793202844  793202867     23
  10  793202869  793202921     52
  10  793202923  793202925      2
  10  793202927  793203074    147
  10  793203076  793203119     43
  10  793203121  793203146     25
  10  793203148  793203155      7
  10  793203157  793203216     59
  10  793203218  793203271     53
  10  793203273  793203326     53
  10  793203329  793203380     51
  10  793203382  793203420     38
  10  793203480  793203531     51
  10  793203533  793203560     27
  10  793203562  793203677    115
  10  793203679  793203855    176
  10  793203857  793203894     37
  10  793203896  793203997    101
  10  793203999  793204078     79
  10  793204080  793204118     38
  10  793204120  793204138     18
  10  793204140  793204207     67
  10  793204210  793204219      9
  10  793204222  793204224      2
  10  793204226  793204289     63
  10  793204291  793204402    111
  10  793204405  793204408      3
  10  793204410  793204443     33
  10  793204445  793204464     19
  10  793204466  793204499     33
  10  793204501  793204504      3
  10  793204506  793204728    222
  10  793204730  793204766     36
  10  793204768  793204812     44
  10  793204814  793204841     27
  10  793204843  793204861     18
  10  793204863  793204939     76
  10  793204941  793204943      2
  10  793204945  793204947      2
  10  793204949  793205008     59
  10  793205010  793205019      9
  10  793205023  793205036     13
  10  793205038  793205111     73
  10  793205115  793205128     13
  10  793205130  793205158     28
  10  793205160  793205202     42
  10  793205206  793205212      6
  10  793205214  793205299     85
  10  793205302  793205328     26
  10  793205331  793205500    169
  10  793205502  793205507      5
  10  793205515  793205599     84
  10  793205601  793205872    271
  10  793205874  793206031    157
  10  793206033  793206040      7
  10  793206042  793206045      3
  10  793206048  793206060     12
  10  793206063  793206074     11
  10  793206076  793206079      3
  10  793206081  793206083      2
  10  793206085  793206090      5
  10  793206092  793206093      1
  10  793206097  793206100      3
  10  793206102  793206127     25
  10  793206129  793206140     11
  10  793206144  793206152      8
  10  793206154  793206157      3
  10  793206159  793206206     47
  10  793206210  793206278     68
  10  793206282  793206324     42
  10  793206326  793206361     35
  10  793206363  793206666    303
  10  793206668  793206929    261
  11  793208144  793208286    142
  11  793208288  793208553    265
  11  793208555  793208650     95
  11  793208652  793209188    536
  11  793209190  793209233     43
  11  793209235  793209344    109
  11  793209346  793209573    227
  11  793209575  793209725    150
  11  793209727  793209775     48
  11  793209777  793209780      3
  11  793209782  793209784      2
  11  793209787  793209793      6
  11  793209796  793209818     22
  11  793209821  793209843     22
  11  793209845  793209855     10
  11  793209857  793209909     52
  11  793209911  793210189    278
