# Veto file created Thu Apr 24 18:31:02 PDT 2008 by kipp on ldas-pcdev1.ligo.caltech.edu
# Input: S4H1H2L1v11_segs.txt (run S4, ifos H1H2L1, version 11)
# Don't analyze data with the following flags: H1:ADC_OVERFLOW H1:INJECTION_BURST H1:INJECTION_INSPIRAL H1:INJECTION_PULSTART H1:INJECTION_STOCHASTIC H1:JET H1:OUTSIDE_S4 H1:PRELOCKLOSS_30 H1:RDS_C04_LX_HFHTDIFF_GT_10_PERCENT H1:SEISMIC_0D9_1D1 H2:ADC_OVERFLOW H2:INJECTION_BURST H2:INJECTION_INSPIRAL H2:INJECTION_PULSTART H2:INJECTION_STOCHASTIC H2:JET H2:OUTSIDE_S4 H2:PRELOCKLOSS_30 H2:RDS_C04_LX_HFHTDIFF_GT_10_PERCENT H2:SEISMIC_0D9_1D1 H2:WIND_OVER_30MPH L1:ADC_OVERFLOW L1:INJECTION_BURST L1:INJECTION_INSPIRAL L1:INJECTION_PULSTART L1:INJECTION_STOCHASTIC L1:NO_DATA L1:NO_RDS L1:OUT_OF_LOCK L1:OUTSIDE_S4 L1:PRELOCKLOSS_30 L1:RDS_C04_LX_HFHTDIFF_GT_10_PERCENT
# Analyze but then veto data with the following flags: H1:ASDC_LOW_THRESH H1:CALIB_LINE_DROPOUT H1:LIGHTDIP_04PERCENT H2:CALIB_LINE_DROPOUT H2:LIGHTDIP_05PERCENT L1:ASDC_LOW_THRESH L1:CALIB_LINE_DROPOUT L1:LIGHTDIP_05PERCENT
# Total analyzed data to be vetoed: 36296
# start      stop
793155525 793155537
793166690 793166692
793166719 793166721
793167414 793167416
793167752 793167754
793167813 793167815
793167874 793167876
793168697 793168699
793169536 793169539
793173397 793173399
793174919 793174921
793175885 793175887
793177761 793177764
793178236 793178238
793181019 793181022
793181657 793181660
793182858 793182860
793184652 793184655
793185093 793185095
793185713 793185715
793186508 793186510
793186761 793186763
793187295 793187297
793187324 793187327
793187399 793187402
793187475 793187479
793187575 793187577
793188209 793188211
793188367 793188370
793188396 793188398
793188461 793188463
793188485 793188487
793188819 793188822
793188894 793188897
793188964 793188966
793188996 793189002
793189008 793189010
793189952 793189955
793190476 793190478
793190716 793190718
793190726 793190729
793190804 793190806
793190817 793190819
793190821 793190824
793190827 793190829
793190852 793190854
793190858 793190860
793190863 793190868
793190869 793190871
793190876 793190878
793190883 793190885
793190902 793190906
793191882 793191884
793195472 793195474
793200078 793200081
793200545 793200549
793200552 793200554
793200563 793200566
793200568 793200570
793200572 793200574
793200581 793200584
793200587 793200589
793200598 793200600
793200631 793200637
793200669 793200671
793200752 793200754
793200797 793200800
793200913 793200915
793201000 793201002
793201125 793201127
793201140 793201144
793201359 793201361
793201788 793201790
793202152 793202154
793202183 793202186
793202217 793202219
793202234 793202236
793202263 793202265
793202318 793202320
793202389 793202393
793202498 793202500
793202581 793202585
793202588 793202590
793202640 793202643
793202674 793202676
793202679 793202681
793202710 793202714
793202810 793202812
793202828 793202830
793202842 793202844
793202867 793202869
793202921 793202923
793202925 793202927
793203074 793203076
793203119 793203121
793203146 793203148
793203155 793203157
793203216 793203218
793203271 793203273
793203326 793203329
793203380 793203382
793203531 793203533
793203560 793203562
793203677 793203679
793203855 793203857
793203894 793203896
793203997 793203999
793204078 793204080
793204118 793204120
793204138 793204140
793204207 793204210
793204219 793204222
793204224 793204226
793204289 793204291
793204402 793204405
793204408 793204410
793204443 793204445
793204464 793204466
793204499 793204501
793204504 793204506
793204728 793204730
793204766 793204768
793204812 793204814
793204841 793204843
793204861 793204863
793204939 793204941
793204943 793204945
793204947 793204949
793205008 793205010
793205111 793205115
793205128 793205130
793205158 793205160
793205202 793205206
793205212 793205214
793205299 793205302
793205328 793205331
793205500 793205502
793205507 793205515
793205599 793205601
793205872 793205874
793206031 793206033
793206040 793206042
793206045 793206048
793206060 793206063
793206074 793206076
793206079 793206081
793206083 793206085
793206090 793206092
793206093 793206097
793206100 793206102
793206127 793206129
793206140 793206144
793206152 793206154
793206157 793206159
793206206 793206210
793206278 793206282
793206324 793206326
793206361 793206363
793206666 793206668
793208286 793208288
793208553 793208555
793208650 793208652
793209188 793209190
793209233 793209235
793209344 793209346
793209573 793209575
793209725 793209727
793209775 793209777
793209780 793209782
793209784 793209787
793209793 793209796
793209818 793209821
793209843 793209845
793209855 793209857
793209909 793209911
793210189 793210193
793210195 793210197
793210214 793210216
793210219 793210221
793210259 793210263
793210324 793210326
793210352 793210354
793210369 793210371
793210380 793210382
793210487 793210489
793210627 793210631
793210873 793210875
793210877 793210879
793210998 793211000
793211073 793211075
793211583 793211586
793211603 793211605
793213597 793213600
793213756 793213758
793213787 793213790
793215303 793215305
793215311 793215313
793215366 793215368
793215429 793215431
793215767 793215769
793216113 793216115
793216214 793216216
793216218 793216220
793216490 793216492
793216541 793216543
793216638 793216641
793216692 793216695
793216761 793216764
793216809 793216811
793217107 793217109
793217513 793217517
793217531 793217533
793217785 793217787
793217858 793217860
793217867 793217869
793217940 793217941
793217942 793217947
793217948 793217950
793217957 793217960
793217972 793217976
793217977 793217980
793218438 793218440
793218443 793218446
793218493 793218495
793218497 793218499
793218512 793218514
793218536 793218538
793218550 793218552
793218559 793218561
793218567 793218570
793218575 793218578
793218587 793218589
793218745 793218747
793218889 793218892
793218924 793218926
793219026 793219028
793219262 793219264
793219314 793219317
793219402 793219404
793219859 793219862
793219986 793219988
793219992 793219994
